segment_id,level,province_count,endpoint_a,endpoint_b,vp_a,vp_b,regional_floor,endpoint_boost,boost_reason,state_a,state_b,owner_a,owner_b,province_list
58,3,2,2161,1265,0,6,3,2,none,"Berkshire, MA","Berkshire, MA",MCA,MCA,2161 1265
59,5,3,5663,4210,35,0,3,5,dense_metro,"Albany, NY","Delaware, NY",ALB,ALB,5663 4679 4210
60,3,4,4520,5724,0,0,3,2,none,"Steuben, NY","Ithaca, NY",ITH,ITH,4520 1793 3884 5724
61,3,3,5724,4210,0,0,3,2,none,"Ithaca, NY","Delaware, NY",ITH,ALB,5724 5722 4210
62,3,4,5734,5760,0,0,3,2,none,"Steuben, NY","Chautauqua, NY",ITH,ERE,5734 5743 5747 5760
63,3,4,5760,1127,0,0,3,2,none,"Chautauqua, NY","Chautauqua, NY",ERE,ERE,5760 3650 5754 1127
64,3,3,3323,4083,0,0,3,2,none,"Schenectady, NY","Troy, NY",ALB,ALB,3323 5648 4083
65,3,2,4083,2561,0,0,3,2,none,"Troy, NY","Troy, NY",ALB,ALB,4083 2561
66,4,5,2561,4179,0,0,3,5,dense_metro,"Troy, NY","Monteregie, QC",ALB,CAN,2561 5622 4077 1218 4179
67,3,2,4179,6714,0,45,3,5,dense_metro,"Monteregie, QC","ile de Montreal, QC",CAN,CAN,4179 6714
68,5,2,4073,4497,50,0,3,5,major_corridor,"Chicago, IL","Chicago, IL",EFG,EFG,4073 4497
69,5,2,4497,3396,0,0,3,5,dense_metro,"Chicago, IL","Chicago Metro, IL",EFG,EFG,4497 3396
70,5,4,3396,2642,0,0,3,5,dense_metro,"Chicago Metro, IL","Milwaukee, WI",EFG,EFG,3396 3145 1318 2642
71,5,5,2642,3225,0,0,3,5,dense_metro,"Milwaukee, WI","Green Bay, WI",EFG,EFG,2642 5741 674 5700 3225
72,3,10,1265,5558,6,0,3,2,none,"Berkshire, MA","Eastern Townships, QC",MCA,CAN,1265 514 4286 5624 2597 4695 1556 909 4055 5558
73,3,2,5558,3125,0,0,3,2,none,"Eastern Townships, QC","Eastern Townships, QC",CAN,CAN,5558 3125
74,3,2,3125,4179,0,0,3,5,dense_metro,"Eastern Townships, QC","Monteregie, QC",CAN,CAN,3125 4179
75,5,11,1183,2822,16,0,3,5,dense_metro,"Essex, MA","Somerset, ME",BRA,CMM,1183 3233 1063 1306 2263 344 4325 3399 3034 1267 2822
76,3,4,2822,2337,0,0,3,2,none,"Somerset, ME","Downeast, ME",CMM,SOM,2822 5537 5027 2337
77,5,3,2822,3636,0,0,3,5,dense_metro,"Somerset, ME","Mecklenberg, NC",CMM,CMM,2822 581 3636
78,4,6,3636,2425,0,0,3,5,dense_metro,"Mecklenberg, NC","St. John, NB",CMM,CAN,3636 5508 1864 5491 518 2425
79,3,2,2425,244,0,0,3,2,none,"St. John, NB","St. John, NB",CAN,CAN,2425 244
80,3,10,4159,5558,0,0,3,2,none,"Somerset, ME","Eastern Townships, QC",CMM,CAN,4159 1791 3311 3690 1570 3537 4266 1624 1778 5558
81,4,9,4893,2062,0,0,3,5,dense_metro,"St. Clair, MI",British Columbia,DET,CAN,4893 5752 4843 5718 3682 1465 345 449 2062
82,3,2,2062,4245,0,0,3,5,dense_metro,British Columbia,British Columbia,CAN,CAN,2062 4245
83,3,8,4245,5552,0,0,3,5,dense_metro,British Columbia,Ontario,CAN,CAN,4245 4241 2174 3340 208 1745 3156 5552
84,3,9,5552,1865,0,0,3,5,dense_metro,Ontario,Ontario,CAN,CAN,5552 2544 5502 2065 1946 2768 5464 3314 1865
85,3,6,1865,5421,0,0,3,2,none,Ontario,Ontario,CAN,CAN,1865 3193 991 1903 636 5421
86,3,2,2062,4472,0,0,3,5,dense_metro,British Columbia,British Columbia,CAN,CAN,2062 4472
87,4,4,4472,2689,0,0,3,5,dense_metro,British Columbia,"Genesse, NY",CAN,ROC,4472 136 2529 2689
88,4,9,4472,4649,0,45,3,5,dense_metro,British Columbia,"Detroit, MI",CAN,DET,4472 4208 1305 3744 1947 5772 3791 5783 4649
89,5,8,5695,5784,0,25,3,5,dense_metro,"Columbia, NY","Sussex, NJ",ALB,PHI,5695 5712 703 4394 8869 8863 8867 5784
90,5,2,5784,4334,25,0,3,5,dense_metro,"Sussex, NJ","Sussex, NJ",PHI,PHI,5784 4334
91,5,4,5784,4650,25,45,3,5,dense_metro,"Sussex, NJ","Philadelphia, PA",PHI,PHI,5784 1640 4737 4650
92,5,3,4650,3334,45,0,3,5,dense_metro,"Philadelphia, PA","Harford, MD",PHI,PHI,4650 1561 3334
93,5,2,4650,1045,45,0,3,5,dense_metro,"Philadelphia, PA","Bucks, PA",PHI,PHI,4650 1045
94,5,7,1045,2022,0,75,3,5,major_corridor,"Bucks, PA",District of Columbia,PHI,DCO,1045 2625 4970 1885 4329 1752 2022
95,3,4,5724,2828,0,0,3,2,none,"Ithaca, NY","Lackawanna, PA",ITH,PHI,5724 4761 2403 2828
96,5,3,2828,5807,0,16,3,5,dense_urban_link,"Lackawanna, PA","Lehigh, PA",PHI,PHI,2828 2422 5807
97,5,2,5807,1045,16,0,3,5,dense_metro,"Lehigh, PA","Bucks, PA",PHI,PHI,5807 1045
98,3,3,2828,4334,0,0,3,2,none,"Lackawanna, PA","Sussex, NJ",PHI,PHI,2828 1096 4334
99,5,4,1045,1547,0,10,3,5,dense_metro,"Bucks, PA","Lancester, PA",PHI,PHI,1045 2436 4735 1547
100,5,8,1547,5858,10,40,3,5,dense_metro,"Lancester, PA","Allegheny, PA",PHI,RWP,1547 1790 4824 520 3571 509 5860 5858
101,5,4,5858,5840,40,0,3,5,dense_metro,"Allegheny, PA","Lawrence, PA",RWP,RWP,5858 5863 236 5840
102,3,4,5840,3111,0,0,3,2,none,"Lawrence, PA","Lake, Ohio",RWP,REO,5840 2021 5811 3111
103,5,5,5807,1547,16,10,3,5,dense_urban_link,"Lehigh, PA","Lancester, PA",PHI,PHI,5807 5822 1495 5836 1547
104,3,3,4282,18,0,15,3,2,none,"Chautauqua, NY","Erie, PA",ERE,ERE,4282 4530 18
105,5,6,18,5858,15,40,3,5,dense_metro,"Erie, PA","Allegheny, PA",ERE,RWP,18 4234 5824 5832 1157 5858
106,5,10,2022,131,75,4,3,5,major_corridor,District of Columbia,"Alleghany, MD",DCO,RWV,2022 5902 4621 4108 2826 4188 5900 5899 3819 131
107,5,5,131,5858,4,40,3,5,dense_metro,"Alleghany, MD","Allegheny, PA",RWV,RWP,131 5890 2143 5091 5858
108,3,2,5839,1891,0,0,3,2,none,"Toledo, OH","Sandusky, OH",SOH,SOH,5839 1891
109,5,3,1891,1450,0,0,3,5,dense_metro,"Sandusky, OH","Columbus, OH",SOH,SOH,1891 1858 1450
110,5,2,1450,5016,0,35,3,5,dense_metro,"Columbus, OH","Columbus, OH",SOH,SOH,1450 5016
111,5,3,5016,4587,35,0,3,5,dense_metro,"Columbus, OH","Athens, OH",SOH,SOH,5016 3259 4587
112,3,3,4587,4936,0,0,3,2,none,"Athens, OH","Floyd County, KY",SOH,TMA,4587 1482 4936
113,3,3,256,5861,0,0,3,2,none,"Cleveland, OH","Richland, OH",REO,SOH,256 1362 5861
114,5,3,5861,1450,0,0,3,5,dense_metro,"Richland, OH","Columbus, OH",SOH,SOH,5861 5872 1450
115,3,2,5840,810,0,0,3,2,none,"Lawrence, PA","Cabell, WV",RWP,REO,5840 810
116,3,6,810,5861,0,0,3,2,none,"Cabell, WV","Richland, OH",REO,SOH,810 5842 2404 2099 3708 5861
117,3,3,5861,1891,0,0,3,2,none,"Richland, OH","Sandusky, OH",SOH,SOH,5861 5055 1891
118,3,3,1891,4140,0,0,3,2,none,"Sandusky, OH","Toledo, OH",SOH,SOH,1891 5862 4140
119,3,6,4140,5865,0,0,3,2,none,"Toledo, OH","Jasper, IN",SOH,EFG,4140 4507 3024 228 2593 5865
120,3,3,5865,2541,0,10,3,2,none,"Jasper, IN","Gary, IN",EFG,EFG,5865 1781 2541
121,5,9,810,5016,0,35,3,5,dense_metro,"Cabell, WV","Columbus, OH",REO,SOH,810 5856 819 5870 5873 1368 3345 5907 5016
122,5,4,5016,3010,35,16,3,5,dense_metro,"Columbus, OH","Dayton, OH",SOH,SOH,5016 3301 5908 3010
123,3,3,3010,5919,16,0,3,3,regional_city,"Dayton, OH","Dayton, OH",SOH,SOH,3010 2630 5919
124,3,9,131,4587,4,0,3,2,none,"Alleghany, MD","Athens, OH",RWV,SOH,131 4958 5934 3064 5942 2445 1383 2082 4587
125,3,6,4587,5963,0,25,3,3,regional_city,"Athens, OH","Cincinnati, OH",SOH,SOH,4587 4774 2923 3516 914 5963
126,3,2,5865,1648,0,0,3,2,none,"Jasper, IN","Jasper, IN",EFG,EFG,5865 1648
127,3,5,1648,463,0,0,3,2,none,"Jasper, IN","Delaware, IN",EFG,IMA,1648 563 2278 4460 463
128,3,2,463,5919,0,0,3,2,none,"Delaware, IN","Dayton, OH",IMA,SOH,463 5919
129,5,5,1648,5933,0,0,3,5,dense_metro,"Jasper, IN","Indianapolis, IN",EFG,IMA,1648 1620 5894 5910 5933
130,5,2,5933,4840,0,30,3,5,dense_metro,"Indianapolis, IN","Indianapolis, IN",IMA,IMA,5933 4840
131,5,4,4840,5998,30,0,3,5,dense_metro,"Indianapolis, IN","Bartholomew, IN",IMA,IMA,4840 4972 4866 5998
132,3,15,5998,1156,0,0,3,2,none,"Bartholomew, IN","Huntsville, AL",IMA,TMA,5998 1479 1874 2 493 5028 3383 6105 6116 2075 3704 772 6175 6186 1156
133,3,2,1156,3109,0,0,3,2,none,"Huntsville, AL","Morgan, AL",TMA,BIR,1156 3109
134,3,4,3109,6253,0,0,3,2,none,"Morgan, AL","Birmingham, AL",BIR,BIR,3109 4074 2513 6253
135,3,2,6253,4096,0,30,3,3,regional_city,"Birmingham, AL","Birmingham, AL",BIR,BIR,6253 4096
136,4,2,4096,758,30,25,3,4,city_link,"Birmingham, AL","Tuscaloosa, AL",BIR,BIR,4096 758
137,3,2,758,2284,25,0,3,3,regional_city,"Tuscaloosa, AL","Autauga, AL",BIR,BIR,758 2284
138,3,3,2284,1912,0,25,3,3,regional_city,"Autauga, AL","Montgomery, Al",BIR,ALF,2284 3665 1912
139,3,4,1912,874,25,0,3,3,regional_city,"Montgomery, Al","Montgomery, Al",ALF,ALF,1912 6310 1468 874
140,3,3,874,379,0,10,3,2,none,"Montgomery, Al","Dothan, AL",ALF,GCC,874 454 379
141,3,2,379,1022,10,0,3,2,none,"Dothan, AL","Escambia, FL",GCC,GCC,379 1022
142,3,3,1022,6372,0,0,3,2,none,"Escambia, FL","Escambia, FL",GCC,GCC,1022 4119 6372
143,3,2,5963,3224,25,6,3,3,regional_city,"Cincinnati, OH","Covington, KY",SOH,TMA,5963 3224
144,3,5,3224,4936,6,0,3,2,none,"Covington, KY","Floyd County, KY",TMA,TMA,3224 1917 5995 1829 4936
145,3,2,4936,4193,0,0,3,2,none,"Floyd County, KY","Floyd County, KY",TMA,TMA,4936 4193
146,3,7,4193,6017,0,0,3,2,none,"Floyd County, KY","Lynchburg, VA",TMA,SVR,4193 1446 3121 4514 5043 3060 6017
147,3,3,6017,4418,0,10,3,2,none,"Lynchburg, VA","Lynchburg, VA",SVR,SVR,6017 1421 4418
148,3,5,4418,4496,10,0,3,2,none,"Lynchburg, VA","Prince George, VA",SVR,SVR,4418 6021 3250 6029 4496
149,3,2,4496,1758,0,0,3,2,none,"Prince George, VA","Prince George, VA",SVR,SVR,4496 1758
150,5,2,1758,5089,0,0,3,5,dense_metro,"Prince George, VA","Hampton Roads, VA",SVR,NOR,1758 5089
151,5,6,5089,4128,0,35,3,5,dense_metro,"Hampton Roads, VA","Richmond, VA",NOR,SVR,5089 1558 4569 4174 3674 4128
152,5,3,4128,2874,35,0,3,5,dense_metro,"Richmond, VA","Spotslyvania, VA",SVR,SVR,4128 5996 2874
153,3,3,2874,360,0,0,3,2,none,"Spotslyvania, VA","Albemarle, VA",SVR,SVR,2874 5990 360
154,3,3,360,6017,0,0,3,2,none,"Albemarle, VA","Lynchburg, VA",SVR,SVR,360 5059 6017
155,3,7,4193,2863,0,0,3,2,none,"Floyd County, KY","Washington, VA",TMA,TMA,4193 4471 2707 175 2855 6056 2863
156,3,4,2863,6017,0,0,3,2,none,"Washington, VA","Lynchburg, VA",TMA,SVR,2863 1662 3370 6017
157,5,2,2022,3384,75,0,3,5,major_corridor,District of Columbia,"Fairfax, VA",DCO,SVR,2022 3384
158,5,5,3384,4128,0,35,3,5,dense_metro,"Fairfax, VA","Richmond, VA",SVR,SVR,3384 3107 5946 5982 4128
159,5,2,4128,1758,35,0,3,5,dense_metro,"Richmond, VA","Prince George, VA",SVR,SVR,4128 1758
160,5,6,3384,2874,0,0,3,5,dense_metro,"Fairfax, VA","Spotslyvania, VA",SVR,SVR,3384 1517 5938 4205 5970 2874
161,3,2,463,3671,0,0,3,2,none,"Delaware, IN","Delaware, IN",IMA,IMA,463 3671
162,5,3,3671,4840,0,30,3,5,dense_metro,"Delaware, IN","Indianapolis, IN",IMA,IMA,3671 1846 4840
163,5,5,4840,5986,30,0,3,5,dense_metro,"Indianapolis, IN","Champaign, IL",IMA,NGI,4840 5956 4236 3503 5986
164,3,2,5986,2785,0,0,3,2,none,"Champaign, IL","Champaign, IL",NGI,NGI,5986 2785
165,3,3,2785,6011,0,0,3,2,none,"Champaign, IL","Springfield, IL",NGI,USM,2785 5017 6011
166,3,2,6011,1221,0,0,3,2,none,"Springfield, IL","Springfield, IL",USM,USM,6011 1221
167,3,2,3671,3523,0,0,3,2,none,"Delaware, IN","Bartholomew, IN",IMA,IMA,3671 3523
168,5,5,5933,559,0,0,3,5,dense_metro,"Indianapolis, IN","Kankakee, IL",IMA,NGI,5933 5923 5904 4204 559
169,3,2,559,2260,0,0,3,2,none,"Kankakee, IL","Kankakee, IL",NGI,NGI,559 2260
170,5,2,2260,3724,0,0,3,5,dense_metro,"Kankakee, IL","Chicago Metro, IL",NGI,EFG,2260 3724
171,5,2,3724,4073,0,50,3,5,major_corridor,"Chicago Metro, IL","Chicago, IL",EFG,EFG,3724 4073
172,5,2,4497,5820,0,0,3,5,dense_metro,"Chicago, IL","Chicago Metro, IL",EFG,EFG,4497 5820
173,5,2,5820,4848,0,16,3,5,dense_metro,"Chicago Metro, IL","Chicago Metro, IL",EFG,EFG,5820 4848
174,5,2,4848,5848,16,16,3,5,dense_metro,"Chicago Metro, IL","Chicago Metro, IL",EFG,EFG,4848 5848
175,5,2,5848,3724,16,0,3,5,dense_metro,"Chicago Metro, IL","Chicago Metro, IL",EFG,EFG,5848 3724
176,5,2,3724,2541,0,10,3,5,dense_metro,"Chicago Metro, IL","Gary, IN",EFG,EFG,3724 2541
177,3,5,559,5986,0,0,3,2,none,"Kankakee, IL","Champaign, IL",NGI,NGI,559 5909 2460 1513 5986
178,3,2,5986,2785,0,0,3,2,none,"Champaign, IL","Champaign, IL",NGI,NGI,5986 2785
179,3,3,2785,6019,0,0,3,2,none,"Champaign, IL","Mount Vernon, IL",NGI,USM,2785 4664 6019
180,3,5,6019,2120,0,0,3,2,none,"Mount Vernon, IL","Mount Vernon, IL",USM,USM,6019 1320 6048 4107 2120
181,3,4,2120,6140,0,0,3,2,none,"Mount Vernon, IL","Jackson, TN",USM,TMA,2120 3881 278 6140
182,3,6,6140,6220,0,0,3,2,none,"Jackson, TN","Tupelo, MS",TMA,BIR,6140 3166 1981 3661 2400 6220
183,3,2,6220,2472,0,0,3,2,none,"Tupelo, MS","Tupelo, MS",BIR,BIR,6220 2472
184,3,2,2472,4810,0,0,3,2,none,"Tupelo, MS","Tupelo, MS",BIR,BIR,2472 4810
185,3,2,4810,6256,0,0,3,2,none,"Tupelo, MS","Tupelo, MS",BIR,BIR,4810 6256
186,3,4,6256,3173,0,0,3,2,none,"Tupelo, MS","Citronelle, AL",BIR,BIR,6256 1311 3075 3173
187,3,2,3173,1436,0,0,3,2,none,"Citronelle, AL","Meridian, MS",BIR,BIR,3173 1436
188,3,3,1436,6358,0,0,3,2,none,"Meridian, MS","Mobile, AL",BIR,GCC,1436 4405 6358
189,3,4,4496,1542,0,0,3,2,none,"Prince George, VA","Nash, NC",SVR,CHA,4496 3630 4152 1542
190,3,8,1542,2340,0,0,3,2,none,"Nash, NC","Myrtle Beach, SC",CHA,CHA,1542 1084 3494 2465 2414 6145 1012 2340
191,3,8,2340,3874,0,0,3,2,none,"Myrtle Beach, SC","Richland, SC",CHA,SSC,2340 3294 2894 133 6214 4576 3825 3874
192,3,4,3874,4536,0,16,3,3,regional_city,"Richland, SC","Chatham, GA",SSC,USG,3874 2151 4915 4536
193,3,2,4536,4490,16,0,3,3,regional_city,"Chatham, GA","Chatham, GA",USG,USG,4536 4490
194,3,3,4490,2711,0,0,3,2,none,"Chatham, GA","Lowndes, GA",USG,USG,4490 6301 2711
195,5,3,5089,1542,0,0,3,5,dense_metro,"Hampton Roads, VA","Nash, NC",NOR,CHA,5089 4791 1542
196,3,8,1542,2340,0,0,3,2,none,"Nash, NC","Myrtle Beach, SC",CHA,CHA,1542 111 6110 6115 2153 4113 711 2340
197,3,6,2340,335,0,30,3,3,regional_city,"Myrtle Beach, SC","Beaufort, SC",CHA,SSC,2340 5048 6202 233 6245 335
198,3,5,335,4536,30,16,3,3,regional_city,"Beaufort, SC","Chatham, GA",SSC,USG,335 6257 4386 1415 4536
199,3,2,360,4418,0,10,3,2,none,"Albemarle, VA","Lynchburg, VA",SVR,SVR,360 4418
200,5,21,4418,6234,10,33,3,5,dense_metro,"Lynchburg, VA","South Metro Atlanta, GA",SVR,USG,4418 6037 6054 6087 3194 3621 4833 4293 6133 6149 1188 3444 2663 4937 3305 3883 3859 6203 917 1839 6234
201,3,4,335,3874,30,0,3,3,regional_city,"Beaufort, SC","Richland, SC",SSC,SSC,335 6231 188 3874
202,5,8,3874,6234,0,33,3,5,dense_metro,"Richland, SC","South Metro Atlanta, GA",SSC,USG,3874 6228 2936 4171 4382 2458 475 6234
203,3,11,3224,3335,6,0,3,2,none,"Covington, KY","Knoxville, TN",TMA,TMA,3224 4692 589 1434 6036 3151 4859 6088 2171 6124 3335
204,3,4,3335,31,0,0,3,2,none,"Knoxville, TN","Chattanooga, TN",TMA,TMA,3335 4577 1150 31
205,3,3,31,1990,0,0,3,2,none,"Chattanooga, TN","Whitfield, GA",TMA,USG,31 4392 1990
206,3,5,1990,1156,0,0,3,2,none,"Whitfield, GA","Huntsville, AL",USG,TMA,1990 6199 1581 4580 1156
207,3,2,1156,3109,0,0,3,2,none,"Huntsville, AL","Morgan, AL",TMA,BIR,1156 3109
208,3,5,3109,6220,0,0,3,2,none,"Morgan, AL","Tupelo, MS",BIR,BIR,3109 1071 2783 26 6220
209,3,5,1990,978,0,0,3,2,none,"Whitfield, GA","Birmingham, AL",USG,BIR,1990 3693 4943 6233 978
210,3,2,978,4096,0,30,3,3,regional_city,"Birmingham, AL","Birmingham, AL",BIR,BIR,978 4096
211,4,2,4096,758,30,25,3,4,city_link,"Birmingham, AL","Tuscaloosa, AL",BIR,BIR,4096 758
212,3,2,758,6277,25,0,3,3,regional_city,"Tuscaloosa, AL","Tuscaloosa, AL",BIR,BIR,758 6277
213,3,3,6277,3173,0,0,3,2,none,"Tuscaloosa, AL","Citronelle, AL",BIR,BIR,6277 332 3173
214,3,2,3173,1436,0,0,3,2,none,"Citronelle, AL","Meridian, MS",BIR,BIR,3173 1436
215,3,5,2863,130,0,0,3,2,none,"Washington, VA","Johnson City, TN",TMA,TMA,2863 2371 577 1072 130
216,3,4,130,3335,0,0,3,2,none,"Johnson City, TN","Knoxville, TN",TMA,TMA,130 4446 4755 3335
217,3,5,130,31,0,0,3,2,none,"Johnson City, TN","Chattanooga, TN",TMA,TMA,130 6137 2946 3364 31
218,4,4,31,852,0,40,3,4,city_link,"Chattanooga, TN","Atlanta, GA",TMA,USG,31 662 1776 852
219,5,2,852,6234,40,33,3,5,dense_metro,"Atlanta, GA","South Metro Atlanta, GA",USG,USG,852 6234
220,4,4,852,613,40,0,3,4,city_link,"Atlanta, GA","Auburn, AL",USG,BIR,852 4324 6226 613
221,3,3,613,978,0,0,3,2,none,"Auburn, AL","Birmingham, AL",BIR,BIR,613 4841 978
222,3,6,6253,4810,0,0,3,2,none,"Birmingham, AL","Tupelo, MS",BIR,BIR,6253 2051 6243 42 1749 4810
223,4,3,852,613,40,0,3,4,city_link,"Atlanta, GA","Auburn, AL",USG,BIR,852 788 613
224,5,4,6234,2046,33,0,3,5,dense_metro,"South Metro Atlanta, GA","Muscogee, GA",USG,USG,6234 3962 4489 2046
225,3,7,2046,2284,0,0,3,2,none,"Muscogee, GA","Autauga, AL",USG,BIR,2046 6265 6270 1733 3487 6266 2284
226,5,3,6234,4251,33,0,3,5,dense_metro,"South Metro Atlanta, GA","Houston, GA",USG,USG,6234 6250 4251
