city,abbr,label,population,province_id,state_id,state_name,value,included,reason
Guantanamo,CU,Guantanamo,272801,4537,734,"Santiago de Cuba, CU",25,0,pending
Saint-Marc,HT,Saint-Marc,266642,6551,735,"Artibonite, HT",25,1,quota_medium
Stockton,CA,"Stockton, CA",320804,5903,756,"San Francisco Metro, CA",25,0,pending
Irapuato,GT,"Irapuato, GT",380941,1999,759,Guanajuato,25,1,quota_dense
Celaya,GT,"Celaya, GT",340387,6574,759,Guanajuato,25,0,pending
Vaudreuil-Soulanges,QC,"Vaudreuil-Soulanges, QC",180000,5034,9,Quebec,16,0,pending
Chilliwack,BC,"Chilliwack, BC",101491,682,23,Northern British Columbia,16,0,pending
Abbotsford,BC,"Abbotsford, BC",153524,8423,23,Northern British Columbia,16,0,pending
Gloucester,ON,"Gloucester, ON",150012,2703,69,Ontario,16,0,pending
Chico,CA,"Chico, CA",121345,8651,90,"Chico, CA",16,0,pending
Everett,WA,"Everett, WA",110629,5402,137,"North Puget Sound, WA",16,0,pending
Provo,UT,"Provo, UT",115162,5850,146,"Salt Lake City, UT",16,0,pending
South Puget Sound,WA,"South Puget Sound, WA",120000,6698,169,"South Puget Sound, WA",16,0,pending
Kent,WA,"Kent, WA",126952,8485,169,"South Puget Sound, WA",16,1,quota_medium
Victorville,CA,"Victorville, CA",134810,6126,303,"Mojave, CA",16,0,pending
Waterbury,CT,"Waterbury, CT",114403,4754,328,"Hartford, CT",16,0,pending
Elgin,IL,"Elgin, IL",112111,5817,366,"Chicago Metro, IL",16,0,pending
Newport News,VA,"Newport News, VA",186247,4174,450,"Richmond, VA",16,1,quota_dense
Surprise,AZ,"Surprise, AZ",143148,1509,523,"Prescott, AZ",16,1,quota_dense
Nogales,SO,"Nogales, SO",140400,1532,553,Sonora,16,1,quota_dense
Heroica Guaymas,SO,"Heroica Guaymas, SO",117253,3646,553,Sonora,16,1,quota_dense
San Luis Rio Colorado,SO,"San Luis Rio Colorado, SO",176685,4048,553,Sonora,16,1,quota_dense
South Fulton,GA,"South Fulton, GA",107436,6271,557,"Houston, GA",16,1,quota_medium
Denton,TX,"Denton, TX",131044,8745,564,"Greater Dallas-Fort Worth Area, TX",16,0,pending
Lewisville,TX,"Lewisville, TX",104039,8748,564,"Greater Dallas-Fort Worth Area, TX",16,0,pending
Mesquite,TX,"Mesquite, TX",144788,8751,564,"Greater Dallas-Fort Worth Area, TX",16,0,pending
Cuauhtemoc,CH,"Cuauhtemoc, CH",168482,3220,579,Chihuahua,16,0,pending
Ciudad Delicias,CH,"Ciudad Delicias, CH",148045,4867,579,Chihuahua,16,1,quota_dense
Hidalgo del Parral,CH,"Hidalgo del Parral, CH",104836,5040,579,Chihuahua,16,1,quota_dense
Metairie,LA,"Metairie, LA",138481,1888,600,"Baton Rouge, LA",16,0,pending
Salem,OR,"Salem, OR",175535,783,609,"Eugene, OR",16,0,pending
Eugene,OR,"Eugene, OR",176654,5574,609,"Eugene, OR",16,1,quota_dense
Pearland,TX,"Pearland, TX",108821,1081,611,"Houston, TX",16,0,pending
Piedras Negras,CO,"Piedras Negras, CO",150178,2526,615,Coahuila,16,0,pending
West Palm Beach,FL,"West Palm Beach, FL",117415,1235,627,"Miami-Dade, FL",16,0,pending
Coral Springs,FL,"Coral Springs, FL",129485,2527,627,"Miami-Dade, FL",16,0,pending
Thousand Oaks,CA,"Thousand Oaks, CA",129339,3092,654,"Los Angeles Metro, CA",16,0,pending
Temecula,CA,"Temecula, CA",110003,6179,654,"Los Angeles Metro, CA",16,0,pending
Elk Grove,CA,"Elk Grove, CA",166913,3182,661,"Sacremento, CA",16,0,pending
Guadalupe,ZA,"Guadalupe, ZA",170029,1367,671,"Fresnillo, ZA",16,0,pending
Round Rock,TX,"Round Rock, TX",115997,2131,678,"Austin, TX",16,0,pending
Norman,OK,"Norman, OK",128026,4653,680,"Oklahoma City, OK",16,0,pending
Visalia,CA,"Visalia, CA",130104,253,695,"Fresno, CA",16,0,pending
Vallejo,CA,"Vallejo, CA",121692,3896,704,"Napa, CA",16,1,quota_medium
Manzanillo,CU,Manzanillo,128188,6548,734,"Santiago de Cuba, CU",16,1,quota_dense
Dessalines,HT,Dessalines,181903,4468,735,"Artibonite, HT",16,0,pending
Ciudad Valles,SL,"Ciudad Valles, SL",134400,2141,747,"San Luis Potosi, SL",16,1,quota_dense
Puerto Vallarta,JA,"Puerto Vallarta, JA",171600,3424,755,Jalisco,16,1,quota_medium
Zamora de Hidalgo,MI,"Zamora de Hidalgo, MI",186102,6565,759,Guanajuato,16,0,pending
Leogane,HT,Leogane,134190,4999,760,"Ouest, HT",16,0,pending
Arcahaie,HT,Arcahaie,130306,6555,760,"Ouest, HT",16,0,pending
Tigwav,HT,Tigwav,117504,6573,760,"Ouest, HT",16,0,pending
Jacmel,HT,Jacmel,137966,4153,769,"Sud-Est, HT",16,1,quota_dense
Les Cayes,HT,Les Cayes,125799,1171,773,"Nippes, HT",16,1,quota_dense
Joplin,MO,"Joplin, MO",51818,473,3,"Joplin, MO",10,1,quota_medium
Fort McMurray,AB,"Fort McMurray, AB",66573,762,6,Northern Alberta,10,1,quota_dense
Grande Prairie,AB,"Grande Prairie, AB",70385,5187,6,Northern Alberta,10,1,quota_dense
Maple Ridge,BC,"Maple Ridge, BC",82256,2173,23,Northern British Columbia,10,0,pending
Anderson,IN,"Anderson, IN",55305,2000,59,"Indianapolis, IN",10,0,pending
Greenwood,IN,"Greenwood, IN",55586,4972,59,"Indianapolis, IN",10,0,pending
Carmel,IN,"Carmel, IN",88713,5933,59,"Indianapolis, IN",10,0,pending
Sault Ste. Marie,ON,"Sault Ste. Marie, ON",72051,651,69,Ontario,10,1,quota_dense
Belleville,ON,"Belleville, ON",50716,2525,69,Ontario,10,1,quota_dense
Peterborough,ON,"Peterborough, ON",85807,3493,69,Ontario,10,1,quota_dense
North Bay,ON,"North Bay, ON",50396,3658,69,Ontario,10,0,pending
Janesville,WI,"Janesville, WI",64123,8656,72,"Madison, WI",10,0,pending
La Crosse,WI,"La Crosse, WI",52680,5714,75,"Eau Claire, WI",10,1,quota_medium
Oshkosh,WI,"Oshkosh, WI",66816,8647,76,"Appleton, WI",10,0,pending
Grand Forks,ND,"Grand Forks, ND",59166,5548,87,"Fargo, ND",10,1,quota_dense
Hoover,AL,"Hoover, AL",84848,2051,101,"Birmingham, AL",10,0,pending
Medicine Hat,AB,"Medicine Hat, AB",63138,4748,117,"Calgary, AB",10,1,quota_dense
Airdrie,AB,"Airdrie, AB",90044,5365,117,"Calgary, AB",10,0,pending
Castle Rock,CO,"Castle Rock, CO",55591,5985,131,"Colorado Springs, CO",10,0,pending
Battle Creek,MI,"Battle Creek, MI",51589,5787,134,"Lansing, MI",10,1,quota_dense
St. John,NB,"St. John, NB",82022,5451,141,New Brunswick,10,1,quota_dense
South Hill,WA,"South Hill, WA",52431,540,169,"South Puget Sound, WA",10,0,pending
Rogers,AR,"Rogers, AR",63159,4375,171,"Fayetteville, AR",10,0,pending
Richland,WA,"Richland, WA",54248,778,185,"Yakima, WA",10,0,pending
Woodbury,MN,"Woodbury, MN",67855,3009,200,"Isanti, MN",10,0,pending
North Chicopee,MA,"North Chicopee, MA",55179,8639,300,"Worchester, MA",10,0,pending
Burnsville,MN,"Burnsville, MN",61481,5676,304,"Saint Paul, MN",10,1,quota_dense
Taunton,MA,"Taunton, MA",56789,803,307,"Plymouth, MA",10,0,pending
Danbury,CT,"Danbury, CT",86518,3427,328,"Hartford, CT",10,0,pending
Cheektowaga,NY,"Cheektowaga, NY",75178,3954,333,"Hamburg, NY",10,0,pending
Rochester Hills,MI,"Rochester Hills, MI",73424,5746,336,"Oakland, MI",10,0,pending
Greenburgh,NY,"Greenburgh, NY",86764,4394,337,"Dutchess, NY",10,0,pending
Brentwood,NY,"Brentwood, NY",60664,320,354,"Long Island, NY",10,0,pending
Arlington Heights,IL,"Arlington Heights, IL",75926,5820,366,"Chicago Metro, IL",10,0,pending
Toms River,NJ,"Toms River, NJ",88791,4951,374,"Monmouth, NJ",10,0,pending
Havertown,PA,"Havertown, PA",50430,1045,376,"Bucks, PA",10,0,pending
Waukegan,IL,"Waukegan, IL",88475,4497,377,"Chicago, IL",10,0,pending
Vineland,NJ,"Vineland, NJ",60780,4395,389,"Camden, NJ",10,0,pending
Camden,NJ,"Camden, NJ",71791,5849,389,"Camden, NJ",10,0,pending
Germantown,MD,"Germantown, MD",86395,4621,418,"Montgomery, MD",10,0,pending
Leesburg,VA,"Leesburg, VA",51209,5916,424,"Fairfax, VA",10,0,pending
Waldorf,MD,"Waldorf, MD",67752,2083,425,"Prince George's, MD",10,0,pending
O'Fallon,MO,"O'Fallon, MO",85040,299,426,"Bowling Green, MO",10,1,quota_medium
Hamilton,OH,"Hamilton, OH",62407,3538,432,"Cincinnati, OH",10,0,pending
Lawrence,KS,"Lawrence, KS",94934,8682,453,"Lawrence, KS",10,0,pending
Suffolk,VA,"Suffolk, VA",88161,1558,459,"Hampton Roads, VA",10,0,pending
Danville,VA,"Danville, VA",58093,6054,463,"Roanoake, VA",10,1,quota_medium
Enchanted Hills,NM,"Enchanted Hills, NM",87521,150,478,"Cibola, NM",10,1,quota_dense
Rocky Mount,NC,"Rocky Mount, NC",55806,111,479,"Pitt, NC",10,0,pending
Burlington,NC,"Burlington, NC",52472,3194,481,"Guilford, NC",10,0,pending
Huntersville,NC,"Huntersville, NC",52704,3953,489,"Gaston, NC",10,0,pending
Gastonia,NC,"Gastonia, NC",74543,6138,489,"Gaston, NC",10,0,pending
Jacksonville,NC,"Jacksonville, NC",67357,4043,491,"Onslow, NC",10,1,quota_dense
Haywood,NC,"Haywood, NC",64839,453,494,"Buncombe, NC",10,0,pending
Heroica Caborca,SO,"Heroica Caborca, SO",59922,1859,553,Sonora,10,1,quota_dense
Agua Prieta,SO,"Agua Prieta, SO",77254,2043,553,Sonora,10,1,quota_dense
Puerto Penasco,SO,"Puerto Penasco, SO",62689,3006,553,Sonora,10,1,quota_dense
Celina,TX,"Celina, TX",64427,2901,564,"Greater Dallas-Fort Worth Area, TX",10,0,pending
North Richland Hills,TX,"North Richland Hills, TX",69204,8750,564,"Greater Dallas-Fort Worth Area, TX",10,0,pending
Mansfield,TX,"Mansfield, TX",64274,821,570,"Dallas-Fort Worth, TX",10,0,pending
Rowlett,TX,"Rowlett, TX",60236,6293,575,"Navarro, TX",10,1,quota_dense
Warner Robins,GA,"Warner Robins, GA",73490,6319,576,"Thomas, GA",10,0,pending
Nuevo Casas Grandes,CH,"Nuevo Casas Grandes, CH",55553,4671,579,Chihuahua,10,1,quota_dense
Georgetown,TX,"Georgetown, TX",63716,989,587,"Waco, TX",10,0,pending
Ocala,FL,"Ocala, FL",63591,8777,593,"Alachua, FL",10,0,pending
Spring Hill,FL,"Spring Hill, FL",98621,3020,594,"Leon, FL",10,0,pending
Palm Coast,FL,"Palm Coast, FL",82893,1017,595,"Duval, FL",10,0,pending
Spring,TX,"Spring, TX",54298,1250,596,"Beaumont, TX",10,1,quota_dense
San Marcos,TX,"San Marcos, TX",60684,831,602,"Bastrop, TX",10,0,pending
The Villages,FL,"The Villages, FL",51442,239,604,"Marion, FL",10,0,pending
North Port,FL,"North Port, FL",62345,4513,604,"Marion, FL",10,1,quota_dense
Deltona,FL,"Deltona, FL",88474,6390,605,"Daytona Beach, FL",10,0,pending
Maple Grove,MN,"Maple Grove, MN",68385,4312,606,"Hutchinson, MN",10,0,pending
Poinciana,FL,"Poinciana, FL",53193,3331,610,"Orlando, FL",10,0,pending
Sugar Land,TX,"Sugar Land, TX",88156,2415,611,"Houston, TX",10,0,pending
Missouri City,TX,"Missouri City, TX",74139,3065,611,"Houston, TX",10,0,pending
New Braunfels,TX,"New Braunfels, TX",70543,6403,613,"San Antonio, TX",10,0,pending
Sabinas,CO,"Sabinas, CO",54905,5041,615,Coahuila,10,1,quota_dense
Lorain,OH,"Lorain, OH",64028,256,620,"Cleveland, OH",10,0,pending
Port Charlotte,FL,"Port Charlotte, FL",54392,3290,621,"Hillsborough, FL",10,0,pending
Homestead,FL,"Homestead, FL",80737,1856,627,"Miami-Dade, FL",10,0,pending
Weston,FL,"Weston, FL",69959,6444,627,"Miami-Dade, FL",10,0,pending
Doral,FL,"Doral, FL",75874,6449,627,"Miami-Dade, FL",10,0,pending
Kendall,FL,"Kendall, FL",80241,6453,627,"Miami-Dade, FL",10,0,pending
Lehigh Acres,FL,"Lehigh Acres, FL",86784,4521,628,"Sarasota, FL",10,0,pending
Edinburg,TX,"Edinburg, TX",84497,6775,633,"Corpus Christi, TX",10,0,pending
Garcia,NL,"Garcia, NL",93641,446,635,"Monterrey, NL",10,0,pending
Linares,NL,"Linares, NL",70378,3692,635,"Monterrey, NL",10,1,quota_dense
Guasave,SI,"Guasave, SI",71196,3278,638,"Los Mochis, SI",10,0,pending
Guamuchil,SI,"Guamuchil, SI",72500,2834,639,"Guadalupe y Calvo, CH",10,0,pending
Watsonville,CA,"Watsonville, CA",53628,3341,643,"Salinas, CA",10,0,pending
Lake Elsinore,CA,"Lake Elsinore, CA",61981,4122,654,"Los Angeles Metro, CA",10,0,pending
Menifee,CA,"Menifee, CA",87174,4224,654,"Los Angeles Metro, CA",10,0,pending
The Woodlands,TX,"The Woodlands, TX",93847,6383,681,"Huntsville, TX",10,1,quota_dense
Conroe,TX,"Conroe, TX",68602,8774,681,"Huntsville, TX",10,0,pending
Ciudad Mante,TM,"Ciudad Mante, TM",84787,1925,688,"Ciudad Victoria, TM",10,1,quota_dense
Delano,CA,"Delano, CA",52733,2138,692,"Bakersfield, CA",10,0,pending
Merced,CA,"Merced, CA",82436,2641,695,"Fresno, CA",10,0,pending
Tulare,CA,"Tulare, CA",62315,3811,695,"Fresno, CA",10,0,pending
Hanford,CA,"Hanford, CA",55659,6012,695,"Fresno, CA",10,0,pending
Vacaville,CA,"Vacaville, CA",96803,4540,704,"Napa, CA",10,0,pending
Napa,CA,"Napa, CA",87102,8665,704,"Napa, CA",10,0,pending
Moa,CU,Moa,92852,4009,734,"Santiago de Cuba, CU",10,0,pending
Gonaives,HT,Gonaives,84961,4963,735,"Artibonite, HT",10,0,pending
Saint John's,AG,Saint John's,51737,6549,741,Aguascalientes,10,1,quota_dense
Thomazeau,HT,Thomazeau,52017,3932,744,"Centre, HT",10,1,quota_dense
Matehuala,SL,"Matehuala, SL",77328,2582,747,"San Luis Potosi, SL",10,1,quota_dense
La Piedad de Cabadas,MI,"La Piedad de Cabadas, MI",83323,6554,747,"San Luis Potosi, SL",10,0,pending
Livermore,CA,"Livermore, CA",88126,1794,756,"San Francisco Metro, CA",10,0,pending
Sahuayo de Morelos,MI,"Sahuayo de Morelos, MI",64431,4020,759,Guanajuato,10,0,pending
Zacapu,MI,"Zacapu, MI",50112,6567,759,Guanajuato,10,1,quota_dense
Benton,AR,"Benton, AR",34177,2365,2,"Hot Springs, AR",6,0,pending
Hot Springs,AR,"Hot Springs, AR (2)",38954,8736,2,"Hot Springs, AR",6,1,quota_medium+suffix
Val-d'Or,QC,"Val-d'Or, QC",25541,569,9,Quebec,6,0,pending
Joliette,QC,"Joliette, QC",34772,2307,9,Quebec,6,0,pending
Sept-Iles,QC,"Sept-Iles, QC",28534,2486,9,Quebec,6,0,pending
Alma,QC,"Alma, QC",29526,2624,9,Quebec,6,0,pending
Neufchatel-Est-Lebourgneuf,QC,"Neufchatel-Est-Lebourgneuf, QC",37540,3357,9,Quebec,6,0,pending
Rimouski,QC,"Rimouski, QC",42240,4289,9,Quebec,6,0,pending
Victoriaville,QC,"Victoriaville, QC",34426,5485,9,Quebec,6,0,pending
Campbell River,BC,"Campbell River, BC",33430,6657,23,Northern British Columbia,6,1,quota_dense
Courtenay,BC,"Courtenay, BC",28420,6661,23,Northern British Columbia,6,0,pending
Frankfort,KY,Frankfort,28391,6024,24,"Louisville, KY",6,1,quota_dense
Hilo,HI,"Hilo, HI",43263,8871,26,World Border,6,0,pending
Madison,AL,"Madison, AL",46962,6233,33,"Etowah, AL",6,0,pending
Moline,IL,"Moline, IL",42985,998,34,"Knox, IL",6,1,quota_medium
Galesburg,IL,"Galesburg, IL",31273,1525,34,"Knox, IL",6,0,pending
Marion,IN,"Marion, IN",29081,563,35,"Howard, IN",6,0,pending
Post Falls,ID,"Post Falls, ID",30453,8527,36,"Coeur d'Alene, ID",6,1,quota_medium+relabel
Kankakee,IL,"Kankakee, IL",26676,2260,37,"Kankakee, IL",6,0,pending
Danville,IL,"Danville, IL",32108,2460,46,"Champaign, IL",6,1,quota_medium
Russellville,AR,"Russellville, AR",29166,1897,47,"Little Rock, AR",6,0,pending
Pine Bluff,AR,"Pine Bluff, AR",41253,4910,47,"Little Rock, AR",6,0,pending
Ottumwa,IA,"Ottumwa, IA",34474,4086,55,"Iowa City, IA",6,1,quota_medium
Marshalltown,IA,"Marshalltown, IA",27620,2502,57,"Waterloo, IA",6,0,pending
Georgetown,KY,Georgetown,32356,589,58,"Covington, KY",6,0,pending
Plainfield,IN,"Plainfield, IN",30590,5956,59,"Indianapolis, IN",6,0,pending
Vernon,BC,"Vernon, BC",40116,611,62,"Vancouver, BC",6,0,pending
Penticton,BC,"Penticton, BC",33761,2064,62,"Vancouver, BC",6,0,pending
West Kelowna,BC,"West Kelowna, BC",28793,8412,62,"Vancouver, BC",6,1,quota_dense+relabel
Winona,MN,"Winona, MN",27094,3504,65,"Rochester, MN",6,1,quota_medium
Menomonee Falls,WI,"Menomonee Falls, WI",36119,2642,66,"Milwaukee, WI",6,0,pending
West Bend,WI,"West Bend, WI",31695,5741,66,"Milwaukee, WI",6,0,pending
Sheboygan,WI,"Sheboygan, WI",48797,674,68,"Green Bay, WI",6,1,quota_medium
Manitowoc,WI,"Manitowoc, WI",33010,5700,68,"Green Bay, WI",6,0,pending
Timmins,ON,"Timmins, ON",41788,2696,69,Ontario,6,0,pending
Cornwall,ON,"Cornwall, ON",48821,3256,69,Ontario,6,0,pending
Quinte West,ON,"Quinte West, ON",43577,4568,69,Ontario,6,0,pending
Beloit,WI,"Beloit, WI",36891,1135,72,"Madison, WI",6,0,pending
Sun Prairie,WI,"Sun Prairie, WI",32365,5755,72,"Madison, WI",6,0,pending
Fitchburg,WI,"Fitchburg, WI",27996,8654,72,"Madison, WI",6,1,quota_dense+relabel
Richmond,IN,"Richmond, IN",35854,463,83,"Delaware, IN",6,0,pending
Lloydminster,AB,"Lloydminster, AB",31582,5331,85,"Edmonton, AB",6,1,quota_dense
North Cowichan,BC,"North Cowichan, BC",29676,6678,88,"Vancouver Island, BC",6,0,pending
Langford,BC,"Langford, BC",46584,6684,88,"Vancouver Island, BC",6,0,pending
Moose Jaw,SK,"Moose Jaw, SK",33890,8481,95,"Saskatoon, SK",6,0,pending
Vestavia Hills,AL,"Vestavia Hills, AL",34174,6253,101,"Birmingham, AL",6,0,pending
Fremont,NE,"Fremont, NE",26474,1044,109,"Fremont, NE",6,1,quota_medium
Kearney,NE,"Kearney, NE",33790,5884,110,"Grand Island, NE",6,0,pending
Emporia,KS,"Emporia, KS",32112,4268,112,"Salina, KS",6,1,quota_medium
Hutchinson,KS,"Hutchinson, KS",41569,6051,113,"Cowley, KS",6,0,pending
Jackson,MI,"Jackson, MI",33133,4934,116,"East Lansing, MI",6,0,pending
Chestermere,AB,"Chestermere, AB",32255,2298,117,"Calgary, AB",6,0,pending
Cochrane,AB,"Cochrane, AB",32199,3728,117,"Calgary, AB",6,0,pending
Dodge City,KS,"Dodge City, KS",27788,4263,122,"Dodge City, KS",6,1,quota_dense
Parker,CO,"Parker, CO",49550,3343,129,"Fort Morgan, CO",6,1,quota_medium
Brighton,CO,"Brighton, CO",37585,5951,129,"Fort Morgan, CO",6,0,pending
Wenatchee,WA,"Wenatchee, WA",35508,1238,140,"Northern Cascades, WA",6,1,quota_dense
Western Okanogan Highlands,WA,"Western Okanogan Highlands, WA",42000,5412,140,"Northern Cascades, WA",6,1,quota_dense
Spanish Fork,UT,"Spanish Fork, UT",37935,8666,149,"Provo, UT",6,0,pending
Slidell,LA,"Slidell, LA",27942,6298,165,"Shreveport, LA",6,1,quota_dense
Bentonville,AR,"Bentonville, AR",44499,1419,171,"Fayetteville, AR",6,0,pending
Pullman,WA,"Pullman, WA",32816,1333,172,"Columbia Basin, WA",6,1,quota_dense
Cedar City,UT,"Cedar City, UT",35235,6018,175,"Cedar City, UT",6,0,pending
Longview,WA,"Longview, WA",36848,466,179,"Willapa Hills, WA",6,0,pending
Moscow,ID,"Moscow, ID",25060,5504,181,"Moscow, ID",6,0,pending
Bremerton,WA,"Bremerton, WA",39520,8891,187,"Naval Submarine Base Bangor, WA",6,1,quota_sparse
White Bear Lake,MN,"White Bear Lake, MN",25205,5639,200,"Isanti, MN",6,0,pending
Lewiston,ME,"Lewiston, ME",37121,4325,232,"Portland Casco Bay, ME",6,0,pending
Lima,OH,"Lima, OH",35579,4140,264,"Toledo, OH",6,1,quota_dense
Findlay,OH,"Findlay, OH",41149,5862,264,"Toledo, OH",6,0,pending
Stevens Point,WI,"Stevens Point, WI",26604,5643,265,"Stevens Point, WI",6,0,pending
Troy,OH,"Troy, OH",25659,4697,266,"Dayton, OH",6,0,pending
Grants Pass,OR,"Grants Pass, OR",37088,5635,278,"Medford, OR",6,0,pending
Saratoga Springs,NY,"Saratoga Springs, NY",27765,4083,282,"Troy, NY",6,0,pending
Glenville,NY,"Glenville, NY",29326,3323,285,"Schenectady, NY",6,1,quota_medium
Wooster,OH,"Wooster, OH",26749,2099,286,"Richland, OH",6,0,pending
Mansfield,OH,"Mansfield, OH",46830,3708,286,"Richland, OH",6,0,pending
Marion,OH,"Marion, OH",36363,5872,286,"Richland, OH",6,1,quota_dense
Rexburg,ID,"Rexburg, ID",27663,5641,287,"Roberts, ID",6,0,pending
Cicero,NY,"Cicero, NY",31632,8637,291,"Oswego, NY",6,0,pending
Westfield,MA,"Westfield, MA",41690,209,300,"Worchester, MA",6,0,pending
Amherst,MA,"Amherst, MA",39833,5661,300,"Worchester, MA",6,0,pending
Franklin,MA,"Franklin, MA",30636,5679,300,"Worchester, MA",6,0,pending
Cottage Grove,MN,"Cottage Grove, MN",35918,4050,304,"Saint Paul, MN",6,0,pending
Auburn,NY,"Auburn, NY",26985,8644,308,"Onondaga, NY",6,1,quota_dense
Midland,MI,"Midland, MI",42200,4387,318,"Saginaw, MI",6,0,pending
South Kingstown,RI,"South Kingstown, RI",30826,5717,319,"Providence, RI",6,0,pending
Norwich,CT,"Norwich, CT",39899,864,321,"New London, CT",6,0,pending
Mansfield City,CT,"Mansfield City, CT",26439,4292,321,"New London, CT",6,0,pending
Middletown,CT,"Middletown, CT",46756,5711,321,"New London, CT",6,0,pending
Owatonna,MN,"Owatonna, MN",25725,843,322,"Mankato, MN",6,0,pending
Elmira,NY,"Elmira, NY",26523,1793,323,"Ithaca, NY",6,0,pending
Binghamton,NY,"Binghamton, NY",47969,5724,323,"Ithaca, NY",6,0,pending
Middletown,NY,"Middletown, NY",27812,4106,338,"Orange, NY",6,0,pending
Kiryas Joel,NY,"Kiryas Joel, NY",32954,5767,338,"Orange, NY",6,1,quota_dense
Jamestown,NY,"Jamestown, NY",30075,8652,341,"Chautauqua, NY",6,0,pending
Back Mountain,PA,"Back Mountain, PA",26973,3663,346,"Bradford, PA",6,0,pending
Clinton,IA,"Clinton, IA",26064,5830,347,"Davenport, IA",6,0,pending
Southgate,MI,"Southgate, MI",29293,4209,348,"Detroit Metro, MI",6,0,pending
Mason City,IA,"Mason City, IA",27338,4834,349,"Mason City, IA",6,0,pending
Forest Hills,MI,"Forest Hills, MI",25867,777,351,"Kent, MI",6,0,pending
Holland,MI,"Holland, MI",33742,4131,351,"Kent, MI",6,0,pending
Tooele,UT,"Tooele, UT",33157,3322,352,"Delta, UT",6,1,quota_dense
West Milford,NJ,"West Milford, NJ",26968,1220,357,"Sussex, NJ",6,0,pending
Wilkes-Barre,PA,"Wilkes-Barre, PA",44328,4504,359,"Lehigh, PA",6,0,pending
Altoona,PA,"Altoona, PA",43963,8663,363,"Northumberland, PA",6,0,pending
Cranberry Township,PA,"Cranberry Township, PA",28098,1157,365,"Lawrence, PA",6,0,pending
Crystal Lake,IL,"Crystal Lake, IL",40448,1696,366,"Chicago Metro, IL",6,0,pending
DeKalb,IL,"DeKalb, IL",43211,2119,366,"Chicago Metro, IL",6,0,pending
Round Lake Beach,IL,"Round Lake Beach, IL",27852,3396,366,"Chicago Metro, IL",6,0,pending
Belvidere,IL,"Belvidere, IL",25132,3460,366,"Chicago Metro, IL",6,0,pending
Calumet City,IL,"Calumet City, IL",37031,3724,366,"Chicago Metro, IL",6,0,pending
Willingboro,NJ,"Willingboro, NJ",31668,3746,374,"Monmouth, NJ",6,0,pending
Lebanon,PA,"Lebanon, PA",25534,5836,378,"Lancester, PA",6,0,pending
Delaware,OH,"Delaware, OH",37995,1450,383,"Columbus, OH",6,0,pending
Lancaster,OH,"Lancaster, OH",39766,3259,383,"Columbus, OH",6,0,pending
Newark,OH,"Newark, OH",47986,3345,383,"Columbus, OH",6,0,pending
Reynoldsburg,OH,"Reynoldsburg, OH",37158,5907,383,"Columbus, OH",6,0,pending
Granger,IN,"Granger, IN",30465,83,385,"Gary, IN",6,0,pending
Michigan City,IN,"Michigan City, IN",31459,1781,385,"Gary, IN",6,0,pending
Zanesville,OH,"Zanesville, OH",25498,2972,386,"Wheeling, OH",6,0,pending
Randallstown,MD,"Randallstown, MD",32430,4389,404,"Baltimore, MD",6,0,pending
Bel Air South,MD,"Bel Air South, MD",47709,4970,404,"Baltimore, MD",6,0,pending
Columbus,IN,"Columbus, IN",46690,4866,405,"Bartholomew, IN",6,0,pending
