id,file,name,current_estimate,suggested_key,suggested_population,score
368,history/states/368-State_368.txt,"Superior, WY",25000,"east superior, wy",3500,0.828
378,history/states/378-State_378.txt,"Lancester, PA",25000,"lancaster, pa",56348,0.923
386,history/states/386-State_386.txt,"Wheeling, OH",25000,"wheeling, wv",31419,0.833
393,history/states/393-State_393.txt,"Washington, PA",25000,"washington, ny",60042,0.857
399,history/states/399-State_399.txt,"Walden, CO",25000,"aspen, co",3991,0.737
402,history/states/402-State_402.txt,"Aberdeen, MD",25000,"aberdeen, sd",24658,0.917
451,history/states/451-State_451.txt,"Jefferson, MO",25000,"jefferson, ny",113378,0.846
463,history/states/463-State_463.txt,"Roanoake, VA",25000,"roanoke, va",94119,0.957
464,history/states/464-State_464.txt,"Washington, VA",25000,"washington, ny",60042,0.857
467,history/states/467-State_467.txt,"Elizabeth City, NC",25000,"elizabeth, nj",120568,0.774
473,history/states/473-State_473.txt,"Wake, NC",25000,"wayne, nc",113329,0.824
475,history/states/475-State_475.txt,"Wayne, KY",25000,"wayne, ny",93772,0.889
483,history/states/483-State_483.txt,"Owens Island, KY",25000,"staten island, ny",443728,0.727
505,history/states/505-State_505.txt,"Tiptonville, KY",25000,"hopkinsville, ky",30089,0.710
508,history/states/508-State_508.txt,"Jonesboro, AK",25000,"jonesboro, ar",55515,0.923
509,history/states/509-State_509.txt,"Randolph, AK",25000,"randolph, nc",141752,0.833
514,history/states/514-State_514.txt,"Whiteville, NC",25000,"asheville, nc",68889,0.815
527,history/states/527-State_527.txt,"Little River, AK",25000,"little river, ar",13628,0.938
528,history/states/528-State_528.txt,"Morgan, AL",25000,"orange, fl",896344,0.700
536,history/states/536-State_536.txt,"Weldona, CO",25000,"delta, co",6033,0.700
544,history/states/544-State_544.txt,"Vernon, TX",25000,"vernal, ut",7714,0.700
556,history/states/556-State_556.txt,"Watson, AR",25000,"tucson, az",486699,0.700
560,history/states/560-State_560.txt,"San Angelo, TX",25000,"san antonio, tx",1144646,0.759
570,history/states/570-State_570.txt,"Dallas-Fort Worth, TX",25000,"fort worth, tx",534694,0.800
622,history/states/622-State_622.txt,"Grand Manan Island, ME",25000,"grand island, ne",42862,0.789
623,history/states/623-State_623.txt,"Bar Harbor, ME",25000,"ann arbor, mi",114024,0.741
626,history/states/626-State_626.txt,"Portland, TX",25000,"portland, or",529121,0.833
627,history/states/627-State_627.txt,"Miami-Dade, FL",25000,"miami, fl",362470,0.783
631,history/states/631-State_631.txt,"Aransas, TX",25000,"garland, tx",215768,0.727
635,history/states/635-State_635.txt,"Monterrey, NL",25000,"monterrey, mx",1108499,0.846
637,history/states/637-State_637.txt,"Laredos, TM",25000,"laredo, tx",176576,0.857
643,history/states/643-State_643.txt,"Salinas, CA",25000,"salina, ks",45966,0.762
646,history/states/646-State_646.txt,"New Providence, BS",25000,"providence, ri",173618,0.750
648,history/states/648-State_648.txt,"Cat Island, BS",25000,"cape breton island, ns",147414,0.722
654,history/states/654-State_654.txt,"Los Angeles Metro, CA",25000,"los angeles, ca",3694820,0.833
655,history/states/655-State_655.txt,"San Diego Metro, CA",25000,"san diego, ca",1223400,0.812
660,history/states/660-State_660.txt,"Santa Rosa, CA",25000,"santa ana, ca",337977,0.815
661,history/states/661-State_661.txt,"Sacremento, CA",25000,"sacramento, ca",407018,0.929
665,history/states/665-State_665.txt,"Yreka, CA",25000,"york, pa",381751,0.706
670,history/states/670-State_670.txt,"Durango, DG",25000,"durango, co",12675,0.818
671,history/states/671-State_671.txt,"Fresnillo, ZA",25000,"fresno, ca",427652,0.783
674,history/states/674-State_674.txt,"Santa Barbara, CA",25000,"santa ana, ca",337977,0.800
681,history/states/681-State_681.txt,"Huntsville, TX",25000,"huntsville, al",158216,0.857
685,history/states/685-State_685.txt,"Matanzas, CU",25000,"havana, cu",2102000,0.727
687,history/states/687-State_687.txt,"Zacatecas, ZA",25000,"zacatecas, mx",1353610,0.846
703,history/states/703-State_703.txt,"Susanville, CA",25000,"danville, va",48411,0.769
712,history/states/712-State_712.txt,"Samana, DO",25000,"salmon, id",3122,0.700
727,history/states/727-State_727.txt,"La Vega, DO",25000,"las vegas, nv",478434,0.750
729,history/states/729-State_729.txt,"Nord-Oueste, HT",25000,"nord-est, ht",393967,0.889
731,history/states/731-State_731.txt,"Isla de Juventud, CU",25000,"isla de la juventud, cu",86000,0.930
736,history/states/736-State_736.txt,"Granma, CU",25000,"havana, cu",2102000,0.700
744,history/states/744-State_744.txt,"Centre, HT",25000,"centre, pa",135758,0.800
747,history/states/747-State_747.txt,"San Luis Potosi, SL",25000,"san luis potosi, mx",2299684,0.895
756,history/states/756-State_756.txt,"San Francisco Metro, CA",25000,"san francisco, ca",776733,0.850
760,history/states/760-State_760.txt,"Ouest, HT",25000,"nord-est, ht",393967,0.762
769,history/states/769-State_769.txt,"Sud-Est, HT",25000,"nord-est, ht",393967,0.783
