tno_state_id,tno_state_name,nationality_id,culture_label,culture_block
1237,Puerto Plata,102,Quisqueyano,Dominican Culture
1707,Sureste,102,Quisqueyano,Dominican Culture
1708,Cibao Nordeste,102,Quisqueyano,Dominican Culture
1709,Cibao Norte,102,Quisqueyano,Dominican Culture
1710,Cibao Sur,102,Quisqueyano,Dominican Culture
1711,Suroeste,102,Quisqueyano,Dominican Culture
311,Belize City,103,Belizean,Belizean Culture
1967,West Belize,103,Belizean,Belizean Culture
313,Guatemala,104,Guatemalan,Guatemalan Culture
312,Honduras,105,Honduran,Honduran Culture
314,El Salvador,106,Salvadorian,Salvadorian Culture
317,Nicaragua,107,Nicaraguan,Nicaraguan Culture
316,Costa Rica,108,Costa Rican,Costa Rican Culture
304,Panama,109,Panamanian,Panamanian Culture
685,Panama Canal,109,Panamanian,Panamanian Culture
1493,West Panama,109,Panamanian,Panamanian Culture
383,Kansas,337,Midwestern,Corn Belt
384,Nebraska,337,Midwestern,Corn Belt
389,North Dakota,337,Midwestern,Corn Belt
390,South Dakota,337,Midwestern,Corn Belt
391,Minnesota,337,Midwestern,Corn Belt
392,Iowa,337,Midwestern,Corn Belt
467,Northern Alberta,365,Western Canadian,Westerner Culture
471,Yukon Territory,365,Western Canadian,Westerner Culture
683,Manitoba,365,Western Canadian,Westerner Culture
1432,Southern Alberta,365,Western Canadian,Westerner Culture
1433,Saskatchewan,365,Western Canadian,Westerner Culture
469,Lower Mainland,366,British Columbian,British Columbian Culture
739,British Columbia Interior,366,British Columbian,British Columbian Culture
740,Insular British Columbia,366,British Columbian,British Columbian Culture
331,Newfoundland,367,Newfoundlander,Newfoundlander Culture
332,Labrador,367,Newfoundlander,Newfoundlander Culture
358,New York,558,New York,New York
359,New Jersey,559,Mid-Atlantic,Mid-Atlantic
954,Delaware,559,Mid-Atlantic,Mid-Atlantic
361,Maryland,560,Mid-Atlantic (Maryland),Maryland
992,District of Columbia,561,African-American Mid-Atlantic (DC),DC
360,Pennsylvania,562,Mid-Atlantic / Steel Belt (Pennsylvania),Pennsylvania
393,Michigan,563,Steel Belt (IL/MI),Illinois and Michigan
395,Illinois,563,Steel Belt (IL/MI),Illinois and Michigan
373,Missouri,564,Missourian,Missouri
369,Kentucky,565,Appalachian,Appalachian
953,West Virginia,565,Appalachian,Appalachian
368,Tennesse,566,Appalachian-African American,Appalachian/African American
362,Virginia,567,Tidewater,Tidewater
363,North Carolina,567,Tidewater,Tidewater
366,Florida,568,Floridian,Floridian
371,Louisiana,569,Louisianan,Louisiana
374,Oklahoma,570,Oklahoman,Oklahoma
376,New Mexico,571,Southern Frontier,Southern Frontier
377,Arizona,571,Southern Frontier,Southern Frontier
382,Colorado,571,Southern Frontier,Southern Frontier
463,Alaska,572,Alaskan,Alaskan
772,Aleutian Islands,572,Alaskan,Alaskan
380,Utah,573,Mormon,Mormon
385,Oregon,574,Pacific Northwestern,Pacific Northwestern
386,Washington,574,Pacific Northwestern,Pacific Northwestern
484,Baja California,695,Bajan Mexican,Mexican Bajan-American
1550,South Baja California,696,Bajan Mexican,Mexican Bajan
483,Sonora,697,Norteno Mexican (Sonora),Mexican Norteno Sonora
482,Chihuahua,698,Norteno Mexican (Chihuahua),Mexican Norteno Chihuahua
480,Coahuila,699,Norteno Mexican (Coahuila),Mexican Norteno Coahuila
479,Tamaulipas,700,Norteno Mexican (Nuevo Leon/Tamaulipas),Mexican Norteno Nuevo Leon and Tamaulipas
1409,Nuevo Leon,700,Norteno Mexican (Nuevo Leon/Tamaulipas),Mexican Norteno Nuevo Leon and Tamaulipas
481,Sinaloa,701,Norteno Mexican (Sinaloa),Mexican Norteno Sinaloa
1408,Durango,702,Norteno Mexican (Durango/Zacatecas/Aguascalientes),"Mexican Norteno Durango, Zacatecas and Aguascalientes"
1422,Aguascalientes,702,Norteno Mexican (Durango/Zacatecas/Aguascalientes),"Mexican Norteno Durango, Zacatecas and Aguascalientes"
1423,Zacatecas,702,Norteno Mexican (Durango/Zacatecas/Aguascalientes),"Mexican Norteno Durango, Zacatecas and Aguascalientes"
733,Andaman and Nicobar Islands,703,var_nationality.703,Bengali - Shaheed and Swaraj islands
705,Sao Tome and Principe,704,var_nationality.704,Luso-African
1410,San Luis Potosi,705,Norteno Mexican (San Luis Potosi),Mexican Norteno San Luis Potosi
477,Veracruz,706,Altiplano Mexican (Veracruz),Mexican Altiplano Veracruz
478,Nayarit,707,Occidental Mexican (Nayarit/Jalisco/Colima),"Mexican Occidental Nayarit, Jalisco and Colima"
1419,Jalisco,707,Occidental Mexican (Nayarit/Jalisco/Colima),"Mexican Occidental Nayarit, Jalisco and Colima"
1420,Colima,707,Occidental Mexican (Nayarit/Jalisco/Colima),"Mexican Occidental Nayarit, Jalisco and Colima"
101,Greenland,708,var_nationality.708,Greenlandic Inuit
1416,Guanajuato,709,Occidental Mexican (Michoacan/Guanajuato/Queretaro),"Mexican Occidental Michocan, Guanajuato and Queretaro"
1417,Queretaro,709,Occidental Mexican (Michoacan/Guanajuato/Queretaro),"Mexican Occidental Michocan, Guanajuato and Queretaro"
1418,Michoacan,709,Occidental Mexican (Michoacan/Guanajuato/Queretaro),"Mexican Occidental Michocan, Guanajuato and Queretaro"
839,Trarza,710,var_nationality.710,Haratin with West African minorities
1011,Brakna,710,var_nationality.710,Haratin with West African minorities
1159,Gorgol,710,var_nationality.710,Haratin with West African minorities
2115,Assaba,710,var_nationality.710,Haratin with West African minorities
1255,Aragua,711,var_nationality.711,Venezuelan Caribeño
178,Canary islands,712,var_nationality.712,Canarian
1545,Ceuta,713,var_nationality.713,Andalusian - Ceuta & Melilla
1546,Melilla,713,var_nationality.713,Andalusian - Ceuta & Melilla
167,Valencia,714,var_nationality.714,Catalan - Valencia
1412,Morelos,715,Altiplano Mexican (Morelos),Mexican Altiplano Morelos
1413,Mexico,715,Altiplano Mexican (Morelos),Mexican Altiplano Morelos
277,Mexico City,716,Altiplano Mexican (Federal District),Mexican Altiplano Federal District
1411,Puebla,717,Altiplano Mexican (Puebla),Mexican Altiplano Puebla
1414,Tlaxcala,717,Altiplano Mexican (Puebla),Mexican Altiplano Puebla
1415,Hidalgo,717,Altiplano Mexican (Puebla),Mexican Altiplano Puebla
485,Guerrero,718,Altiplano Mexican (Guerrero),Mexican Altiplano Gurrero
476,Oaxaca,719,Oaxacan Mexican,Mexican Indigena Oaxaca
475,Chiapas,720,Chiapan Mexican,Mexican Indigena Chiapas
1424,Tabasco,721,Sureno Mexican (Tabasco),Mexican Sureno Tabasco
1425,Campeche,721,Sureno Mexican (Tabasco),Mexican Sureno Tabasco
474,Yucatan,722,Mayan Mexican (Yucatan),Mexican Mayan Yucatan
2152,Quintana Roo,722,Mayan Mexican (Yucatan),Mexican Mayan Yucatan
