id,file,name,province,category,level,dot_size,status
301,history/states/301-State_301.txt,"Wayne, NY",4265,large_town,5,5,assigned
320,history/states/320-State_320.txt,"Albany, NY",5663,large_town,5,4,assigned
314,history/states/314-State_314.txt,"Genesse, NY",2689,large_town,5,10,assigned
276,history/states/276-State_276.txt,"Aberdeen, SD",2805,town,4,4,assigned
665,history/states/665-State_665.txt,"Yreka, CA",4903,rural,3,6,assigned
321,history/states/321-State_321.txt,"New London, CT",1899,town,4,12,assigned
316,history/states/316-State_316.txt,"Columbia, NY",5695,large_town,5,12,assigned
89,history/states/89-State_89.txt,"Sioux Falls, SD",5759,city,6,10,assigned
283,history/states/283-State_283.txt,"Casper, WY",250,town,4,10,assigned
72,history/states/72-State_72.txt,"Madison, WI",672,city,6,10,assigned
351,history/states/351-State_351.txt,"Kent, MI",2761,metropolis,9,10,assigned
66,history/states/66-State_66.txt,"Milwaukee, WI",2642,metropolis,9,12,assigned
348,history/states/348-State_348.txt,"Detroit Metro, MI",3515,megalopolis,10,17,assigned
97,history/states/97-State_97.txt,"Ann Arbor, MI",2598,city,6,9,assigned
357,history/states/357-State_357.txt,"Sussex, NJ",4334,city,6,30,assigned
656,history/states/656-State_656.txt,"Elko, NV",51,town,4,9,assigned
620,history/states/620-State_620.txt,"Cleveland, OH",256,large_city,8,13,assigned
366,history/states/366-State_366.txt,"Chicago Metro, IL",5820,megalopolis,10,20,assigned
331,history/states/331-State_331.txt,"Mojave, NV",1281,enclave,1,12,assigned
146,history/states/146-State_146.txt,"Salt Lake City, UT",1006,city,6,11,assigned
377,history/states/377-State_377.txt,"Chicago, IL",4073,megalopolis,10,8,assigned
378,history/states/378-State_378.txt,"Lancester, PA",2436,large_town,5,4,assigned
701,history/states/701-State_701.txt,"Yosemite, CA",717,wasteland,1,10,assigned
255,history/states/255-State_255.txt,"Cabell, WV",5856,large_town,5,10,assigned
60,history/states/60-State_60.txt,"Des Moines, IA",942,city,6,10,assigned
618,history/states/618-State_618.txt,"Omaha, NE",2180,large_city,8,10,assigned
756,history/states/756-State_756.txt,"San Francisco Metro, CA",5903,megalopolis,10,19,assigned
412,history/states/412-State_412.txt,"Frederick, MD",2826,city,6,9,assigned
266,history/states/266-State_266.txt,"Dayton, OH",5919,city,6,11,assigned
423,history/states/423-State_423.txt,"Frederick, VA",410,large_town,5,9,assigned
424,history/states/424-State_424.txt,"Fairfax, VA",5929,metropolis,9,9,assigned
695,history/states/695-State_695.txt,"Fresno, CA",1916,large_city,8,9,assigned
129,history/states/129-State_129.txt,"Fort Morgan, CO",1195,rural,3,10,assigned
78,history/states/78-State_78.txt,"Tippecanoe, IN",2575,city,6,9,assigned
405,history/states/405-State_405.txt,"Bartholomew, IN",3523,large_town,5,11,assigned
28,history/states/28-State_28.txt,"St. Joseph, MO",3541,large_town,5,4,assigned
447,history/states/447-State_447.txt,"Cabell, WV",1446,large_town,5,6,assigned
401,history/states/401-State_401.txt,"Kit Carson, CO",6001,rural,3,9,assigned
440,history/states/440-State_440.txt,"Spotslyvania, VA",2874,large_town,5,10,assigned
426,history/states/426-State_426.txt,"Bowling Green, MO",299,rural,3,8,assigned
456,history/states/456-State_456.txt,"Prince George, VA",1758,town,4,9,assigned
455,history/states/455-State_455.txt,"Floyd, IN",4441,large_town,5,10,assigned
24,history/states/24-State_24.txt,"Louisville, KY",6024,large_city,8,9,assigned
462,history/states/462-State_462.txt,"Kaibab, AZ",3035,rural,3,11,assigned
465,history/states/465-State_465.txt,"Wichita, KS",532,large_city,8,12,assigned
15,history/states/15-State_15.txt,"Springfield, MO",2230,city,6,9,assigned
487,history/states/487-State_487.txt,"Mecklenberg, NC",4277,metropolis,9,11,assigned
481,history/states/481-State_481.txt,"Guilford, NC",3194,large_city,8,10,assigned
674,history/states/674-State_674.txt,"Santa Barbara, CA",2713,large_town,5,12,assigned
503,history/states/503-State_503.txt,"Nashville, TN",3704,metropolis,9,10,assigned
485,history/states/485-State_485.txt,"Knoxville, TN",4755,city,6,11,assigned
654,history/states/654-State_654.txt,"Los Angeles Metro, CA",6157,megalopolis,10,8,assigned
500,history/states/500-State_500.txt,"Flagstaff, AZ",969,large_town,5,11,assigned
303,history/states/303-State_303.txt,"Mojave, CA",294,rural,3,8,assigned
489,history/states/489-State_489.txt,"Gaston, NC",3444,city,6,9,assigned
495,history/states/495-State_495.txt,"Tulsa, OK",4097,large_city,8,12,assigned
514,history/states/514-State_514.txt,"Whiteville, NC",6172,rural,3,9,assigned
510,history/states/510-State_510.txt,"Santa Fe, NM",2721,large_town,5,6,assigned
519,history/states/519-State_519.txt,"Amarillo, TX",3765,city,6,10,assigned
680,history/states/680-State_680.txt,"Oklahoma City, OK",4653,metropolis,9,10,assigned
196,history/states/196-State_196.txt,"Phillips, AR",5005,town,4,8,assigned
528,history/states/528-State_528.txt,"Morgan, AL",3109,city,6,11,assigned
538,history/states/538-State_538.txt,"Richland, SC",3825,large_city,8,11,assigned
655,history/states/655-State_655.txt,"San Diego Metro, CA",2470,megalopolis,10,9,assigned
47,history/states/47-State_47.txt,"Little Rock, AR",3442,city,6,8,assigned
689,history/states/689-State_689.txt,"El Centro, CA",6227,town,4,11,assigned
588,history/states/588-State_588.txt,"San Carlos, AZ",6215,pastoral,2,10,assigned
523,history/states/523-State_523.txt,"Prescott, AZ",2251,town,4,8,assigned
537,history/states/537-State_537.txt,"North Metro Atlanta, GA",788,metropolis,9,7,assigned
550,history/states/550-State_550.txt,"Beaufort, SC",6244,town,4,9,assigned
101,history/states/101-State_101.txt,"Birmingham, AL",6253,city,6,12,assigned
549,history/states/549-State_549.txt,Baja California,6251,megalopolis,10,10,assigned
143,history/states/143-State_143.txt,"Tucson, AZ",3936,large_city,8,10,assigned
559,history/states/559-State_559.txt,"Chatham, GA",646,city,6,12,assigned
570,history/states/570-State_570.txt,"Dallas-Fort Worth, TX",6302,megalopolis,10,31,assigned
237,history/states/237-State_237.txt,"Butler, AL",1384,town,4,7,assigned
571,history/states/571-State_571.txt,"Shreveport, LA",3276,city,6,10,assigned
569,history/states/569-State_569.txt,"Jackson, MS",144,city,6,9,assigned
530,history/states/530-State_530.txt,"Sierra Vista, AZ",4237,town,4,10,assigned
578,history/states/578-State_578.txt,"El Paso, TX",4771,metropolis,9,16,assigned
573,history/states/573-State_573.txt,"Lowndes, GA",3481,large_town,5,9,assigned
594,history/states/594-State_594.txt,"Leon, FL",2067,city,6,4,assigned
208,history/states/208-State_208.txt,"Alexandra, LA",4139,town,4,8,assigned
553,history/states/553-State_553.txt,Sonora,2893,megalopolis,10,9,assigned
678,history/states/678-State_678.txt,"Austin, TX",3821,metropolis,9,10,assigned
612,history/states/612-State_612.txt,"LaFourche, LA",3877,large_town,5,8,assigned
611,history/states/611-State_611.txt,"Houston, TX",4438,megalopolis,10,12,assigned
610,history/states/610-State_610.txt,"Orlando, FL",6399,city,6,12,assigned
613,history/states/613-State_613.txt,"San Antonio, TX",6410,metropolis,9,7,assigned
579,history/states/579-State_579.txt,Chihuahua,3799,megalopolis,10,10,assigned
627,history/states/627-State_627.txt,"Miami-Dade, FL",2573,megalopolis,10,10,assigned
633,history/states/633-State_633.txt,"Corpus Christi, TX",3244,large_city,8,10,assigned
617,history/states/617-State_617.txt,"Laredo, TX",4095,city,6,19,assigned
628,history/states/628-State_628.txt,"Sarasota, FL",3922,large_city,8,9,assigned
615,history/states/615-State_615.txt,Coahuila,4271,megalopolis,10,12,assigned
634,history/states/634-State_634.txt,"Lee, FL",211,large_city,8,9,assigned
647,history/states/647-State_647.txt,"Andros, BS",2463,rural,3,6,assigned
638,history/states/638-State_638.txt,"Los Mochis, SI",418,large_city,8,9,assigned
635,history/states/635-State_635.txt,"Monterrey, NL",1636,metropolis,9,6,assigned
653,history/states/653-State_653.txt,"Matamoros, TA",1126,large_city,8,18,assigned
668,history/states/668-State_668.txt,"Mazatlan, SI",3470,city,6,9,assigned
619,history/states/619-State_619.txt,Baja California Sur,6801,large_city,8,10,assigned
679,history/states/679-State_679.txt,Turks and Caicos Islands,6810,small_island,2,11,assigned
670,history/states/670-State_670.txt,"Durango, DG",5083,large_city,8,8,assigned
691,history/states/691-State_691.txt,"Mayabeque, CU",2762,large_city,8,10,assigned
693,history/states/693-State_693.txt,"Artemisa, CU",3900,metropolis,9,11,assigned
696,history/states/696-State_696.txt,"Ciego de Avila, CU",4542,large_city,8,11,assigned
730,history/states/730-State_730.txt,"Dajabon, DO",4696,town,4,13,assigned
724,history/states/724-State_724.txt,"Hato Mayor, DO",1069,large_town,5,9,assigned
747,history/states/747-State_747.txt,"San Luis Potosi, SL",2582,city,6,11,assigned
688,history/states/688-State_688.txt,"Ciudad Victoria, TM",6538,large_city,8,11,assigned
727,history/states/727-State_727.txt,"La Vega, DO",3536,city,6,9,assigned
736,history/states/736-State_736.txt,"Granma, CU",1953,metropolis,9,11,assigned
741,history/states/741-State_741.txt,Aguascalientes,3969,metropolis,9,9,assigned
765,history/states/765-State_765.txt,"Isla de la Gonave, HT",6830,large_town,5,10,assigned
757,history/states/757-State_757.txt,Quintana Roo,1344,metropolis,9,11,assigned
759,history/states/759-State_759.txt,Guanajuato,3455,megalopolis,10,3,assigned
761,history/states/761-State_761.txt,Yucatan,2430,megalopolis,10,3,assigned
