state_id,state_name,category,province_count,existing_vps,proposed_new_vps,tier,quota,max_gap_px
33,"Etowah, AL",large_town,6,1,0,medium,2,63.7
34,"Knox, IL",large_town,9,1,2,medium,3,41.2
35,"Howard, IN",large_town,4,1,0,medium,2,30.5
36,"Coeur d'Alene, ID",town,7,0,1,medium,2,88.4
37,"Kankakee, IL",town,9,1,1,medium,3,42.4
38,"Belcher Islands, NU",small_island,8,0,0,medium,3,9999.0
39,"Christian, KY",large_town,5,1,0,medium,2,29.7
40,Eastern Northern Manitoba,city,94,0,0,dense,8,9999.0
41,"Peoria, IL",city,4,2,0,dense,3,34.8
42,Newfoundland,large_city,62,1,4,dense,8,387.8
43,"Oxford, MS",rural,10,2,0,medium,3,55.3
44,"El Dorado, AR",town,7,1,1,medium,2,86.0
45,Oklahoma,megalopolis,23,0,0,dense,8,9999.0
46,"Champaign, IL",large_town,8,0,2,medium,3,52.0
47,"Little Rock, AR",city,3,1,0,dense,3,28.9
48,"Woodward, OK",rural,3,1,0,sparse,1,39.6
49,"Bowling Green, KY",town,10,1,0,medium,3,48.1
50,"Guayama, PR",large_town,2,1,0,sparse,1,20.8
51,"Petersburg, IL",pastoral,4,1,0,sparse,1,42.8
52,"Platte, WI",rural,4,1,0,medium,2,33.2
53,"Buncombe, NC",city,30,0,0,dense,8,9999.0
54,"Ottumwa, IA",town,7,0,1,medium,2,94.7
55,"Iowa City, IA",large_town,8,1,2,medium,3,38.9
56,"Dubuque, IA",large_town,9,2,1,medium,3,50.4
57,"Waterloo, IA",large_town,8,1,0,medium,3,72.5
58,"Covington, KY",town,7,1,1,medium,2,43.2
59,"Indianapolis, IN",metropolis,6,1,0,dense,4,31.9
60,"Des Moines, IA",city,8,1,0,dense,4,85.9
61,Illinois,megalopolis,2,0,0,sparse,1,9999.0
62,"Vancouver, BC",metropolis,99,1,4,dense,8,221.4
63,Northern Saskatchwan,city,173,0,1,dense,8,342.2
64,"North Kansas City, MO",rural,2,1,0,sparse,1,22.7
65,"Rochester, MN",large_town,6,0,2,medium,2,52.5
66,"Milwaukee, WI",metropolis,5,2,0,dense,3,41.6
67,"Sioux City, IA",large_town,12,1,1,dense,6,68.6
68,"Green Bay, WI",large_town,4,0,2,medium,2,32.7
69,Ontario,megalopolis,462,4,4,dense,8,588.6
70,"Jackson, TN",large_town,11,1,0,medium,3,94.6
71,"Land Between The Lakes, TN",town,1,1,0,sparse,1,0.0
72,"Madison, WI",city,11,0,1,dense,5,45.4
73,"Lexington, KY",large_city,1,1,0,dense,3,0.0
74,"Kalamazoo, MI",large_town,4,1,0,medium,2,29.7
75,"Eau Claire, WI",large_town,10,1,2,medium,3,42.5
76,"Appleton, WI",large_town,7,2,0,medium,2,26.8
77,"Kansas City, MO",large_city,3,1,0,dense,3,26.0
78,"Tippecanoe, IN",city,6,1,1,dense,4,23.9
79,"Oshkosh, WI",large_town,5,1,0,medium,2,58.2
80,"Wausau, WI",town,4,0,1,medium,2,49.7
81,"La Crosse, WI",large_town,7,0,2,medium,2,53.4
82,"Minot, ND",town,9,0,1,medium,3,146.1
83,"Delaware, IN",city,8,1,1,dense,4,44.1
84,"Willis, ND",pastoral,7,1,0,sparse,2,121.2
85,"Edmonton, AB",metropolis,55,2,1,dense,8,202.7
86,"De Witt, AR",pastoral,3,0,0,sparse,1,9999.0
87,"Fargo, ND",large_town,13,1,1,dense,6,63.6
88,"Vancouver Island, BC",metropolis,32,1,1,dense,8,183.3
89,"Sioux Falls, SD",city,4,1,1,dense,3,31.0
90,"Chico, CA",large_town,7,2,0,medium,2,99.3
91,"Mitchell, SD",rural,6,0,0,medium,2,9999.0
92,"Vaudreuil-Soulanges, QC",city,1,0,0,dense,3,9999.0
93,"Twin Islands, NU",tiny_island,2,0,0,sparse,1,9999.0
94,"Kindersley, SK",rural,20,2,1,dense,8,92.7
95,"Saskatoon, SK",city,87,1,2,dense,8,213.7
96,Guantanamo Bay,rural,1,0,0,sparse,1,9999.0
97,"Ann Arbor, MI",city,6,1,0,dense,4,43.6
98,"Brookings, SD",town,5,2,0,medium,2,35.8
99,"Rapid City, SD",large_town,8,1,0,medium,3,60.4
100,"Winnipeg, MB",metropolis,52,2,1,dense,8,275.0
101,"Birmingham, AL",city,5,1,0,dense,3,31.4
102,"Dickinson, ND",rural,11,2,0,medium,3,56.6
103,"Pierre, SD",rural,4,0,0,medium,2,9999.0
104,"Akimiski Island, NU",tiny_island,2,0,0,sparse,1,9999.0
105,"Beatrice, NE",rural,4,1,0,medium,2,62.0
106,"Pine Bluff, AR",large_town,4,0,1,medium,2,79.0
107,"Anticosti Island, QC",small_island,4,0,0,medium,2,9999.0
108,"Scottsbluff, NE",rural,7,1,1,medium,2,46.6
109,"Fremont, NE",town,9,1,1,medium,3,49.3
110,"Grand Island, NE",town,12,1,1,dense,6,67.0
111,"Meridian, MS",town,10,0,0,medium,3,9999.0
112,"Salina, KS",town,8,1,1,medium,3,46.5
113,"Cowley, KS",town,9,2,0,medium,3,42.9
114,"Saint Pierre, FR",rural,2,0,0,sparse,1,9999.0
115,"Charlton Island, NU",tiny_island,1,0,0,sparse,1,9999.0
116,"East Lansing, MI",town,4,1,0,medium,2,32.6
117,"Calgary, AB",metropolis,25,2,2,dense,8,56.2
118,"Miquelon, FR",pastoral,1,0,0,sparse,1,9999.0
119,"Durango, CO",rural,9,1,0,medium,3,64.3
120,"Eastern Townships, QC",city,44,0,0,dense,8,9999.0
121,"Hardin, KY",large_town,6,1,1,medium,2,39.3
122,"Dodge City, KS",town,19,1,1,dense,8,119.9
123,"Alamosa, CO",rural,4,1,0,medium,2,40.3
124,"Fort Smith, AR",large_town,6,1,0,medium,2,69.3
125,"Twin Falls, ID",town,6,1,0,medium,2,61.4
126,"Thornton, CO",large_town,6,1,0,medium,2,69.7
127,"Tuscaloosa, AL",large_town,7,1,0,medium,2,61.5
128,"Fort Collins, CO",city,5,2,0,dense,3,43.3
129,"Fort Morgan, CO",rural,5,1,1,medium,2,43.9
130,"La Salle, LA",rural,5,1,1,medium,2,34.1
131,"Colorado Springs, CO",large_city,7,1,0,dense,4,84.5
132,"Magladen Islands, QC",small_island,1,0,0,sparse,1,9999.0
133,"Ionia, MI",rural,5,0,1,medium,2,46.6
134,"Lansing, MI",city,4,0,1,dense,3,30.6
135,"Miles City, MT",rural,20,1,0,dense,8,126.5
136,"Gillette, WY",town,18,1,1,dense,8,88.3
137,"North Puget Sound, WA",city,3,1,1,dense,3,28.2
138,"Flint, MI",city,7,1,0,dense,4,44.5
139,"Great Falls, MT",large_town,16,0,0,dense,7,9999.0
140,"Northern Cascades, WA",large_town,13,1,2,dense,6,57.9
141,New Brunswick,metropolis,27,2,3,dense,8,147.3
142,"Olympic Peninsula, WA",large_town,7,1,1,medium,2,79.1
143,"Tucson, AZ",large_city,3,1,0,dense,3,34.2
144,"Idaho Falls, ID",large_town,6,0,1,medium,2,57.6
145,"Cape Breton Island, NS",city,7,0,0,dense,4,9999.0
146,"Salt Lake City, UT",city,3,1,0,dense,3,46.3
147,"Ogden, UT",large_town,8,2,0,medium,3,46.8
148,"Lac-des-Eaux-Mortes, QC",rural,1,0,0,sparse,1,9999.0
149,"Provo, UT",city,12,1,0,dense,6,99.3
150,"Western Okanogan Highlands, WA",town,6,1,0,medium,2,42.9
151,"Edmundston, NB",rural,3,0,0,sparse,1,9999.0
152,Prince Edward Island,city,2,1,1,dense,3,57.7
153,"Degelis, QC",town,6,0,0,medium,2,9999.0
154,"Mount Pleasant, MI",town,3,1,0,sparse,1,32.2
155,"Brandon, MB",town,14,0,0,dense,6,9999.0
156,"Puget Islands, WA",town,8,1,1,medium,3,39.4
157,"Eastern Okanogan Highlands, WA",town,2,1,0,sparse,1,21.9
158,"Metaline Falls, WA",enclave,1,0,0,sparse,1,9999.0
159,"Hanover, MB",town,9,0,0,medium,3,9999.0
160,"Sandpoint, ID",rural,3,0,0,sparse,1,9999.0
161,"Kalispell, MT",rural,9,1,0,medium,3,78.9
162,"Essex, MA",metropolis,1,1,0,dense,3,0.0
163,Nova Scotia,metropolis,18,2,1,dense,8,95.8
164,"Vernal, UT",rural,7,1,0,medium,2,61.8
165,"Shreveport, LA",city,8,0,1,dense,4,310.3
166,"Cypress, AB",rural,2,0,0,sparse,1,9999.0
167,"Maple Creek, MB",pastoral,10,0,0,sparse,2,9999.0
168,"Aroostook, ME",large_town,13,2,0,dense,6,57.7
169,"South Puget Sound, WA",large_town,5,0,2,medium,2,26.4
170,"Browning, MT",pastoral,7,0,0,sparse,2,9999.0
171,"Fayetteville, AR",large_town,8,1,0,medium,3,60.9
172,"Columbia Basin, WA",city,16,1,2,dense,7,57.9
173,"Pantex Plant, TX",pastoral,1,1,0,sparse,1,0.0
174,"Saint Francis, ME",enclave,2,0,0,sparse,1,9999.0
175,"Cedar City, UT",town,12,1,0,dense,6,136.2
176,"New Orleans, LA",large_city,2,1,0,dense,3,46.2
177,"Butte, MT",town,27,1,0,dense,8,278.7
178,"Capitol Reef, UT",wasteland,9,1,0,sparse,2,89.4
179,"Willapa Hills, WA",rural,3,1,0,sparse,1,38.8
180,"Lafayette, LA",city,10,0,0,dense,5,9999.0
181,"Moscow, ID",town,15,2,0,dense,7,73.5
182,"Mecklenberg, NC",large_town,8,1,0,medium,3,60.5
183,"Southern Cascades, WA",large_town,8,1,0,medium,3,75.7
184,"St. John, NB",large_town,6,0,0,medium,2,9999.0
185,"Yakima, WA",large_town,7,1,0,medium,2,92.3
186,"Missoula, MT",large_town,6,1,1,medium,2,76.2
187,"Naval Submarine Base Bangor, WA",pastoral,1,0,1,sparse,1,14.7
188,"Piscataquis, ME",town,6,0,0,medium,2,9999.0
189,"Middlesex, NJ",metropolis,1,0,0,dense,3,9999.0
190,"Roseburg, OR",town,8,1,0,medium,3,70.6
191,"Muskegon, MI",town,5,1,0,medium,2,43.1
192,"Bismarck, ND",large_town,17,1,0,dense,7,99.0
193,"Grand Forks, ND",town,18,0,1,dense,8,100.6
194,"Conway, AR",town,9,1,0,medium,3,72.2
195,"Mahoosuc Range, ME",town,4,0,0,medium,2,9999.0
196,"Phillips, AR",town,5,0,0,medium,2,9999.0
197,"Natchitoches, LA",rural,4,1,0,medium,2,60.5
198,"Lake Charles, LA",large_town,6,0,0,medium,2,9999.0
199,"Clay, MN",large_town,4,1,1,medium,2,35.5
200,"Isanti, MN",rural,15,1,1,dense,7,57.0
201,"Vancouver, WA",city,1,1,0,dense,3,0.0
202,"Autauga, AL",town,4,0,1,medium,2,28.3
203,"Downeast, ME",town,4,1,0,medium,2,45.8
204,"Billings, MT",large_town,27,3,0,dense,8,116.1
205,"West Mahoosuc, ME",rural,5,0,0,medium,2,9999.0
206,"Blue Mountains, WA",rural,4,1,0,medium,2,62.1
207,"Somerset, ME",large_town,5,2,0,medium,2,26.3
208,"Alexandra, LA",town,5,0,0,medium,2,9999.0
209,"Bend, OR",large_town,12,1,0,dense,6,130.8
210,"Queens, NY",megalopolis,1,0,0,sparse,1,9999.0
211,"Phillipsburg, MT",pastoral,6,1,0,sparse,2,78.5
212,"Mercer, ND",pastoral,11,1,0,sparse,2,86.0
213,"Orange, NY",large_city,1,0,0,dense,3,9999.0
214,"Dothan, AL",large_town,4,1,0,medium,2,64.4
215,"Monroe, LA",large_town,10,0,2,medium,3,43.2
216,"Western Mountains, ME",rural,9,1,0,medium,3,46.6
217,"Pendleton, OR",rural,19,1,0,dense,8,135.2
218,"Monteregie, QC",megalopolis,2,0,0,sparse,1,9999.0
219,"ile Marie, QC",small_island,1,0,0,sparse,1,9999.0
220,"Baker, MT",pastoral,13,1,0,dense,6,111.9
221,"Penobscot Bay, ME",town,4,1,0,medium,2,31.2
222,"Marquette, MI",town,3,1,0,sparse,1,48.1
223,"Great North Woods, NH",town,3,1,0,sparse,1,40.0
224,"Cascade, ID",pastoral,19,0,1,dense,8,185.5
225,"ile Jesus, QC",metropolis,1,0,0,dense,3,9999.0
226,"ile de Montreal, QC",metropolis,1,1,0,dense,3,0.0
227,"Montgomery, Al",city,5,1,0,dense,3,68.2
228,"Saint Cloud, MN",large_town,11,1,1,medium,3,85.1
229,"ile Bizardl, QC",town,1,0,0,sparse,1,9999.0
230,"ile Perrot, QC",town,1,0,0,sparse,1,9999.0
231,"Northeast Kingdom, VT",town,2,1,0,sparse,1,25.9
232,"Portland Casco Bay, ME",large_town,9,1,0,medium,3,56.4
233,"Cadillac, MI",rural,7,1,0,medium,2,41.0
234,"Jamestown, ND",rural,2,0,0,sparse,1,9999.0
235,"Clarke, AL",town,2,0,0,sparse,1,9999.0
236,"Franklin, VT",town,2,0,1,sparse,1,24.9
237,"Butler, AL",town,6,0,0,medium,2,9999.0
238,"Alger, MI",rural,6,1,0,medium,2,72.3
239,"Dillon, MT",pastoral,9,2,0,sparse,2,58.7
240,"Sugar Island, MI",tiny_island,1,1,0,sparse,1,0.0
241,"Superior, WI",town,3,1,0,sparse,1,53.3
242,"St. Lawrence, NY",city,3,1,0,dense,3,41.2
243,"Salmon, ID",pastoral,5,0,0,sparse,1,9999.0
244,"White Mountains, NH",rural,4,1,0,medium,2,43.7
245,"Manhattan, NYC",megalopolis,1,1,0,sparse,1,0.0
246,"St. Joseph Island, ON",small_island,1,0,0,sparse,1,9999.0
247,"Athens, OH",town,7,1,1,medium,2,48.4
248,"Grand Isle, VT",rural,1,1,0,sparse,1,0.0
249,"Powder River, MT",rural,7,0,0,medium,2,9999.0
250,"Addison, VT",town,1,1,0,sparse,1,0.0
251,"Hayward, WI",rural,13,0,1,dense,6,112.3
252,"Manitoulin Island, ON",small_island,5,0,0,medium,2,9999.0
253,"Rutland, VT",town,7,1,1,medium,2,49.6
254,"Drummond Island, MI",small_island,1,0,0,sparse,1,9999.0
255,"Cabell, WV",large_town,6,0,1,medium,2,61.8
256,"Hardin, MT",pastoral,2,0,0,sparse,1,9999.0
257,"Cockburn Island, ON",wasteland,1,0,0,sparse,1,9999.0
258,"East Bozeman, MT",town,4,0,0,medium,2,9999.0
259,"Madison, MT",pastoral,2,0,0,sparse,1,9999.0
260,"Merrimack, NH",city,4,1,0,dense,3,34.9
261,"Sarasota, FL",large_city,1,1,0,dense,3,0.0
262,"Ontario, OR",rural,20,1,0,dense,8,140.8
263,"Mackinac Island, MI",tiny_island,1,0,0,sparse,1,9999.0
264,"Toledo, OH",large_city,7,1,1,dense,4,35.9
265,"Stevens Point, WI",town,9,1,1,medium,3,73.3
266,"Dayton, OH",city,12,2,1,dense,6,49.4
267,"Mackinac City, MI",pastoral,2,0,1,sparse,1,15.5
268,"Grafton, NH",rural,2,0,1,sparse,1,42.7
269,"Clearwater, MN",pastoral,17,2,1,dense,7,67.2
270,"Beaver Island, MI",tiny_island,1,0,0,sparse,1,9999.0
271,"Harding, SD",pastoral,9,0,0,sparse,2,9999.0
272,"Iosco, MI",rural,3,1,0,sparse,1,24.0
273,"Hamilton, NY",rural,4,1,0,medium,2,55.4
274,"Strafford, NH",city,1,1,0,dense,3,0.0
275,"Mobridge, SD",pastoral,8,0,0,sparse,2,9999.0
276,"Aberdeen, SD",town,11,1,0,medium,3,119.8
277,"Concord, NH",town,2,1,0,sparse,1,27.1
278,"Medford, OR",large_town,6,1,1,medium,2,35.4
279,"Watertown, SD",town,10,1,0,medium,3,83.2
280,"Lewis, NY",town,4,1,1,medium,2,36.7
281,"Old Faithful, WY",pastoral,3,1,0,sparse,1,70.6
282,"Troy, NY",large_town,6,2,0,medium,2,53.8
283,"Casper, WY",town,15,1,0,dense,7,165.5
284,"Philadelphia, PA",megalopolis,1,1,0,sparse,1,0.0
285,"Schenectady, NY",large_town,4,0,1,medium,2,43.0
286,"Richland, OH",city,8,2,1,dense,4,35.5
287,"Roberts, ID",enclave,10,1,0,sparse,2,72.2
288,"Boise, ID",city,8,1,0,dense,4,108.9
289,"Baileys Harbor, WI",pastoral,2,0,1,sparse,1,43.0
290,"Grand Traverse, MI",large_town,10,1,0,medium,3,58.1
291,"Oswego, NY",city,4,1,0,dense,3,31.3
292,"Hillsborough, NH",town,1,1,0,sparse,1,0.0
293,"Windham, VT",town,2,1,0,sparse,1,19.9
294,"Nampa, ID",large_town,8,0,0,medium,3,9999.0
295,"Jackson, WY",rural,8,0,0,medium,3,9999.0
296,"Crescent City, CA",pastoral,1,1,0,sparse,1,0.0
297,"Jerome, ID",rural,6,1,0,medium,2,69.5
298,"Marshall, MN",rural,4,0,1,medium,2,48.0
299,"Suffolk, MA",metropolis,1,1,0,dense,3,0.0
300,"Worchester, MA",city,6,1,0,dense,4,26.1
301,"Wayne, NY",large_town,6,1,0,medium,2,32.9
302,"Berkshire, MA",city,2,1,0,dense,3,20.8
303,"Mojave, CA",rural,34,6,0,dense,8,58.6
304,"Saint Paul, MN",large_city,5,1,1,dense,3,29.8
305,"Chenango, NY",town,5,1,1,medium,2,31.6
306,"Delaware, NY",town,2,1,0,sparse,1,43.9
307,"Plymouth, MA",large_town,4,2,0,medium,2,22.5
308,"Onondaga, NY",large_city,7,0,1,dense,4,43.7
309,"Trippe, SD",enclave,13,0,0,dense,6,9999.0
310,"Pocatello, ID",large_town,4,1,0,medium,2,58.2
311,"Murray, MN",rural,2,1,0,sparse,1,45.2
312,"Huron, MI",town,7,1,0,medium,2,51.0
313,"Monroe, NY",metropolis,1,1,0,dense,3,0.0
314,"Genesse, NY",large_town,5,0,1,medium,2,26.7
315,"Barnstable, MA",town,1,1,0,sparse,1,0.0
316,"Columbia, NY",large_town,2,1,0,sparse,1,23.6
317,"Mason, MI",rural,5,1,0,medium,2,39.0
318,"Saginaw, MI",large_town,6,1,0,medium,2,38.4
319,"Providence, RI",city,2,1,0,dense,3,21.6
320,"Albany, NY",large_town,1,1,0,sparse,1,0.0
321,"New London, CT",town,4,1,0,medium,2,34.1
322,"Mankato, MN",town,6,1,0,medium,2,42.5
323,"Ithaca, NY",town,6,1,0,medium,2,35.7
324,"Lovelock, NV",pastoral,12,0,0,dense,6,9999.0
325,"Cattaraugus, NY",large_town,9,1,0,medium,3,58.6
326,"Buffalo, NY",large_city,1,1,0,dense,3,0.0
327,"Windham, NY",pastoral,2,0,0,sparse,1,9999.0
328,"Hartford, CT",city,4,1,0,dense,3,42.9
329,"Benton Harbor, MI",rural,2,1,0,sparse,1,25.3
330,Grand Island,town,1,0,0,sparse,1,9999.0
331,"Mojave, NV",enclave,45,0,1,dense,8,286.6
332,"Detroit, MI",metropolis,1,1,0,dense,3,0.0
333,"Hamburg, NY",large_town,2,1,0,sparse,1,15.4
334,"Alpena, MI",town,4,1,0,medium,2,37.8
335,"Steuben, NY",large_town,4,1,0,medium,2,18.7
336,"Oakland, MI",metropolis,5,1,0,dense,3,39.7
337,"Dutchess, NY",large_city,3,1,0,dense,3,35.0
338,"Orange, NY",large_city,4,0,1,dense,3,44.0
339,"St. Clair, MI",city,5,1,0,dense,3,35.3
340,"Douglas, WY",rural,5,1,0,medium,2,74.5
341,"Chautauqua, NY",city,8,2,0,dense,4,23.0
342,"Lackawanna, PA",city,7,1,0,dense,4,59.7
343,"Fairfield, CT",large_town,1,1,0,sparse,1,0.0
344,"West Wendover, NV",pastoral,7,0,0,sparse,2,9999.0
345,"Allegheny, PA",megalopolis,1,1,0,sparse,1,0.0
346,"Bradford, PA",large_town,7,1,0,medium,2,51.5
347,"Davenport, IA",large_town,6,1,0,medium,2,45.1
348,"Detroit Metro, MI",megalopolis,3,2,0,sparse,1,20.6
349,"Mason City, IA",town,7,1,1,medium,2,53.2
350,"Council Bluffs, IA",large_town,5,1,1,medium,2,29.7
351,"Kent, MI",metropolis,5,1,0,dense,3,32.6
352,"Delta, UT",pastoral,24,0,1,dense,8,202.2
353,"Erie, PA",large_town,5,1,0,medium,2,56.0
354,"Long Island, NY",megalopolis,2,1,0,sparse,1,34.6
355,"Cheyenne, WY",large_town,15,2,0,dense,7,89.3
356,"McKean, PA",town,7,1,0,medium,2,42.7
357,"Sussex, NJ",city,3,1,0,dense,3,30.8
358,"Cherry, NE",rural,17,1,0,dense,7,146.2
359,"Lehigh, PA",large_city,6,2,0,dense,4,52.8
360,"South Bairoil, WY",enclave,3,1,0,sparse,1,35.1
361,"Sandusky, OH",town,4,1,0,medium,2,38.7
362,"Evanston, WY",rural,5,1,0,medium,2,61.0
363,"Northumberland, PA",large_town,7,1,0,medium,2,41.3
364,"Rock Springs, WY",town,3,1,0,sparse,1,45.5
365,"Lawrence, PA",large_town,7,1,1,medium,2,34.2
366,"Chicago Metro, IL",megalopolis,11,3,0,medium,3,61.2
367,"Middlesex, NJ",metropolis,1,1,0,dense,3,0.0
368,"Superior, WY",pastoral,1,0,0,sparse,1,9999.0
369,"Rockford, IL",city,9,1,1,dense,5,51.4
370,"Carson City, NV",large_town,5,2,0,medium,2,30.9
371,"Centre, PA",city,5,0,2,dense,3,37.8
372,"East Superior, WY",pastoral,3,1,0,sparse,1,29.6
373,"Wamsutter, WY",enclave,3,0,0,sparse,1,9999.0
374,"Monmouth, NJ",metropolis,5,1,0,dense,3,51.3
375,"Rawlins, WY",rural,1,0,0,sparse,1,9999.0
376,"Bucks, PA",metropolis,2,1,0,dense,3,33.0
377,"Chicago, IL",megalopolis,2,1,0,sparse,1,30.5
378,"Lancester, PA",large_town,7,3,0,medium,2,21.1
379,"Williams, OH",town,2,1,0,sparse,1,31.7
380,"Adobie Town Rim, WY",enclave,3,1,0,sparse,1,59.1
381,"Greenville, MS",town,12,1,0,dense,6,97.6
382,"Fort Wayne, IN",city,7,2,0,dense,4,33.7
383,"Columbus, OH",metropolis,7,1,0,dense,4,50.5
384,"Ogallala, NE",rural,3,0,0,sparse,1,9999.0
385,"Gary, IN",large_town,4,2,0,medium,2,22.0
386,"Wheeling, OH",town,6,1,1,medium,2,40.8
387,"Blair, PA",city,5,1,0,dense,3,52.1
388,"York, PA",large_city,7,1,0,dense,4,71.4
389,"Camden, NJ",large_town,5,1,0,medium,2,41.0
390,"Adams, IL",large_town,4,1,0,medium,2,60.2
391,"Westmoreland, PA",large_city,3,1,0,dense,3,36.1
392,"Jasper, IN",town,5,1,0,medium,2,56.2
393,"Washington, PA",large_town,5,1,0,medium,2,35.2
394,"Grand Junction, CO",town,11,0,1,medium,3,110.2
395,"Newcastle, DE",large_city,1,1,0,dense,3,0.0
396,"Mount Vernon, IL",rural,16,1,0,dense,7,82.4
397,"Steamboat Springs, CO",rural,6,1,0,medium,2,41.0
398,"Saint Anne, IL",rural,1,0,0,sparse,1,9999.0
399,"Walden, CO",enclave,2,0,0,sparse,1,9999.0
400,"Lincoln, NE",city,7,1,0,dense,4,50.1
401,"Kit Carson, CO",rural,22,1,1,dense,8,131.0
402,"Aberdeen, MD",rural,2,1,0,sparse,1,12.5
403,"Harford, MD",city,1,0,1,dense,3,12.8
404,"Baltimore, MD",metropolis,4,1,0,dense,3,24.0
405,"Bartholomew, IN",large_town,7,1,1,medium,2,44.9
406,"Carroll, MD",city,2,1,0,dense,3,34.4
407,"Clinton, OH",rural,6,1,0,medium,2,50.9
408,"Randell, UT",wasteland,5,0,0,sparse,1,9999.0
409,"North Platte, NE",town,7,0,0,medium,2,9999.0
410,"Kent, DE",city,1,1,0,dense,3,0.0
411,"Queen Anne's, MD",town,8,1,0,medium,3,46.6
412,"Frederick, MD",city,3,1,0,dense,3,17.2
413,"Adams, NE",town,4,1,1,medium,2,34.4
414,"Alleghany, MD",town,1,1,0,sparse,1,0.0
415,"Berkeley, WV",large_town,3,1,0,sparse,1,25.6
416,"Morgantown, WV",town,4,1,0,medium,2,49.5
417,"Mineral, WV",town,4,1,0,medium,2,73.1
418,"Montgomery, MD",metropolis,2,1,0,dense,3,14.2
419,"Bishop, CA",pastoral,6,0,0,sparse,2,9999.0
420,"Sussex, DE",city,5,0,1,dense,3,29.3
421,"Monogalia, WV",large_town,4,1,0,medium,2,44.3
422,"Breckenridge, CO",pastoral,1,0,0,sparse,1,9999.0
423,"Frederick, VA",large_town,7,1,0,medium,2,46.6
424,"Fairfax, VA",metropolis,8,1,0,dense,4,41.5
425,"Prince George's, MD",metropolis,9,1,0,dense,5,48.3
426,"Bowling Green, MO",rural,8,1,1,medium,3,49.4
427,"Bloomington, IL",large_town,3,0,1,sparse,1,43.9
428,"Aspen, CO",pastoral,18,1,1,dense,8,96.7
429,"Wood, WV",large_town,3,1,0,sparse,1,43.6
430,"Furnass, NE",pastoral,1,0,1,sparse,1,14.4
431,"Wicomico, MD",large_town,4,1,0,medium,2,25.7
432,"Cincinnati, OH",large_city,5,1,0,dense,3,42.3
433,"Dove Creek, CO",enclave,11,1,1,sparse,2,64.9
434,"Ellis, KS",town,11,1,1,medium,3,66.0
435,"Albemarle, VA",large_town,5,1,0,medium,2,57.5
436,"Topeka, KS",city,10,1,1,dense,5,50.6
437,"King George's, VA",town,9,1,0,medium,3,64.7
438,"Greenbrier, WV",town,4,1,1,medium,2,45.2
439,"Accomack, VA",town,3,1,0,sparse,1,24.7
440,"Spotslyvania, VA",large_town,4,0,1,medium,2,29.5
441,"Pueblo, CO",large_town,2,0,1,sparse,1,46.2
442,"Moab, UT",rural,5,0,0,medium,2,9999.0
443,"Lynchburg, VA",large_town,5,2,0,medium,2,23.3
444,"Emporia, KS",town,11,0,1,medium,3,101.9
445,"Springfield, IL",city,7,1,0,dense,4,75.8
446,"Madison, KY",large_town,8,1,0,medium,3,61.6
447,"Cabell, WV",large_town,2,1,0,sparse,1,38.9
448,"Mesquite, NV",pastoral,3,0,0,sparse,1,9999.0
449,"Kanawha, WV",city,1,1,0,dense,3,0.0
450,"Richmond, VA",city,3,1,1,dense,3,27.9
451,"Jefferson, MO",city,6,1,0,dense,4,47.1
452,"Raleight, WV",large_town,5,1,1,medium,2,34.5
