tag,name,population,authored_gdp_b,new_gdp_b,delta_pct,implied_scale,applied_scale,resynced,raw_gdp_b,est_power_demand,est_power_supply,power_deficit
MNV,Mandate of Nevada,1402919,2.985,2.985,0.0,0.3546,0.3546,False,8.419,18.0,25.0,-7.0
NAV,Navajo Nation,191126,0.821,0.821,0.0,1.3766,1.3772,False,0.596,6.0,15.0,-9.0
NGI,National Guard Government of Illinois,2228501,1.362,1.362,0.0,0.1642,0.1642,False,8.295,34.1,40.0,-5.9
NGM,National Guard Government of Massachusetts,3285126,1.362,1.362,0.0,0.0595,0.0595,False,22.888,25.6,35.0,-9.4
NJM,New Jersey Military Authority,1975120,5.072,5.072,0.0,0.4028,0.4027,False,12.593,29.7,40.0,-10.3
NOM,New Orleans Military Authority,2837616,8.809,8.809,0.0,0.6233,0.6233,False,14.133,66.4,75.0,-8.6
NOR,Norfolk State,1372111,14.751,14.751,0.0,1.7376,1.7376,False,8.489,57.3,65.0,-7.7
NYC,Confederation of New York,5854880,74.168,74.168,0.0,1.689,1.689,False,43.912,261.5,250.0,11.5
OKC,Oklahoma City Administration,2793226,5.021,5.021,0.0,0.4065,0.4065,False,12.353,44.1,50.0,-5.9
OMA,Omaha Administration,4627166,8.01,8.01,0.0,0.3114,0.3114,False,25.719,73.0,80.0,-7.0
PHI,Philadelphia Administration,15646394,30.11,30.11,0.0,0.3325,0.3325,False,90.561,177.8,204.0,-26.2
PRC,Puerto Rico,3974575,5.811,5.811,0.0,0.2132,0.2132,False,27.254,54.4,60.0,-5.6
REO,Republic of East Ohio,3125386,4.503,4.503,0.0,0.2225,0.2226,False,20.234,37.0,45.0,-8.0
ROC,Rochester Government,1460840,9.661,9.661,0.0,1.0859,1.0859,False,8.897,48.5,55.0,-6.5
RWP,Republic of West Pennslyvania,3722391,17.366,17.366,0.0,0.7214,0.7215,False,24.071,88.1,95.0,-6.9
RWV,Republic of West Virginia,1166608,1.823,1.823,0.0,0.4464,0.4465,False,4.084,24.5,30.0,-5.5
SAZ,State of Arizona,3950104,12.555,12.555,0.0,0.4444,0.4444,False,28.253,60.7,69.0,-8.3
SCA,State of California,36750779,237.149,237.149,0.0,0.8324,0.8324,False,284.893,861.4,1127.0,-265.6
SDA,State of North Dakota,742687,0.945,0.945,0.0,0.2881,0.2882,False,3.28,15.3,25.0,-9.7
SFM,South Florida Military Authority,5715731,25.772,25.772,0.0,0.6035,0.6035,False,42.706,94.3,107.0,-12.7
SIA,State of Iowa,2935078,3.68,3.68,0.0,0.2088,0.2088,False,17.621,49.5,60.0,-10.5
SMN,State of Minnesota,5296361,6.611,6.611,0.0,0.1807,0.1807,False,36.579,73.3,80.0,-6.7
SNH,State of New Hampshire,886556,0.85,0.85,0.0,0.1896,0.1896,False,4.483,15.6,22.0,-6.4
SOH,State of Ohio,6036249,11.562,11.562,0.0,0.3125,0.3125,False,37.002,84.7,95.0,-10.3
SOM,State of Maine,375955,0.345,0.345,0.0,0.1791,0.1792,False,1.926,7.0,15.0,-8.0
SOR,State of Oregon,3355140,2.218,2.218,0.0,0.0983,0.0983,False,22.558,33.2,40.0,-6.8
SPM,Superior Military Authority,458154,20.607,20.607,0.0,12.8952,12.8954,False,1.598,72.3,80.0,-7.7
SRI,United States Rhode Island Government,2628895,1.066,1.066,0.0,0.0636,0.0636,False,16.76,19.7,27.0,-7.3
SSC,State of South Carolina,2069392,2.571,2.571,0.0,0.2035,0.2036,False,12.631,29.2,37.0,-7.8
SSD,State of South Dakota,603790,0.965,0.965,0.0,0.3846,0.3848,False,2.509,13.4,20.0,-6.6
STX,State of Texas,8654047,100.518,100.518,0.0,1.7332,1.7332,False,57.997,367.6,472.0,-104.4
SUT,State of Utah,1526586,1.735,1.735,0.0,0.201,0.201,False,8.631,21.7,30.0,-8.3
SVR,State of Virginia,7765125,24.61,24.61,0.0,0.489,0.489,False,50.331,143.3,160.0,-16.7
SWA,State of Washington,5681600,4.443,4.443,0.0,0.1246,0.1246,False,35.658,66.8,75.0,-8.2
SWI,State of Wisconsin,1172850,0.795,0.795,0.0,0.1306,0.1306,False,6.089,19.4,25.0,-5.6
SWV,State of West Virginia,664925,0.808,0.808,0.0,0.2199,0.2199,False,3.674,12.4,20.0,-7.6
SYR,Syracuse Revolt,525604,0.405,0.405,0.0,0.2371,0.2371,False,1.708,6.7,15.0,-8.3
TAL,Tallahassee Administration,670707,1.027,1.027,0.0,0.314,0.3141,False,3.271,9.1,15.0,-5.9
TMA,Tennessee Military Authority,10040244,21.371,21.371,0.0,0.3774,0.3774,False,56.621,180.1,198.0,-17.9
USG,United States Georgia Government,8919424,17.344,17.344,0.0,0.2979,0.2979,False,58.213,122.0,134.0,-12.0
USM,United States Missouri Government,6438704,5.38,5.38,0.0,0.1347,0.1347,False,39.931,68.1,75.0,-6.9
VER,Vermont Republic,739229,0.609,0.609,0.0,0.1696,0.1697,False,3.59,14.8,25.0,-10.2
WAR,Wyoming Autonomous Region,1752183,1.636,1.636,0.0,0.2138,0.2138,False,7.651,31.9,40.0,-8.1
WOL,Wolverine State,3057533,0.778,0.778,0.0,0.0627,0.0627,False,12.404,42.8,50.0,-7.2
WTB,Watertown Brigade,425957,0.802,0.802,0.0,0.3282,0.3283,False,2.443,9.4,15.0,-5.6
