lotd_state_id,name,lat,lon,nationality_id,culture_name,rule_used
55,"Iowa City, IA",41.2081,-91.7435,337,Midwestern,us_state_default
56,"Dubuque, IA",42.6343,-91.6875,337,Midwestern,us_state_default
57,"Waterloo, IA",41.9622,-92.9726,337,Midwestern,us_state_default
58,"Covington, KY",38.6367,-84.3772,565,Appalachian,appalachian_ky
59,"Indianapolis, IN",39.7902,-86.0341,85,Steel Belt,us_state_default
60,"Des Moines, IA",41.2201,-94.0145,337,Midwestern,us_state_default
61,Illinois,47.9656,-51.1654,563,Steel Belt (IL/MI),us_full_state_name
62,"Vancouver, BC",43.5845,-109.0409,366,British Columbian,canada_name
63,Northern Saskatchwan,41.4282,-85.5065,365,Western Canadian,canada_name
64,"North Kansas City, MO",39.1951,-94.1169,564,Missourian,us_state_default
65,"Rochester, MN",43.6199,-92.1759,337,Midwestern,us_state_default
66,"Milwaukee, WI",43.0908,-88.3207,85,Steel Belt,us_state_default
67,"Sioux City, IA",42.7343,-95.3454,337,Midwestern,us_state_default
68,"Green Bay, WI",44.1505,-88.2292,85,Steel Belt,us_state_default
69,Ontario,48.4477,-82.5364,92,Ontarian,canada_name
70,"Jackson, TN",35.9322,-88.4628,566,Appalachian-African American,us_state_default
71,"Land Between The Lakes, TN",36.8446,-87.9611,566,Appalachian-African American,us_state_default
72,"Madison, WI",42.9966,-89.3307,85,Steel Belt,us_state_default
73,"Lexington, KY",38.1046,-84.5782,565,Appalachian,appalachian_ky
74,"Kalamazoo, MI",42.1601,-85.5408,563,Steel Belt (IL/MI),us_state_default
75,"Eau Claire, WI",44.3841,-91.6524,85,Steel Belt,us_state_default
76,"Appleton, WI",44.3123,-88.8530,85,Steel Belt,us_state_default
77,"Kansas City, MO",38.7591,-94.0556,564,Missourian,us_state_default
78,"Tippecanoe, IN",40.1425,-86.7673,85,Steel Belt,us_state_default
79,"Oshkosh, WI",43.7402,-89.3540,85,Steel Belt,us_state_default
80,"Wausau, WI",44.4098,-90.3168,85,Steel Belt,us_state_default
81,"La Crosse, WI",43.4854,-90.5670,85,Steel Belt,us_state_default
82,"Minot, ND",47.1009,-98.7971,337,Midwestern,us_state_default
83,"Delaware, IN",40.1004,-85.1248,85,Steel Belt,us_state_default
84,"Willis, ND",46.8139,-100.1633,337,Midwestern,us_state_default
85,"Edmonton, AB",43.4717,-100.3706,365,Western Canadian,canada_name
86,"De Witt, AR",34.3566,-91.2578,83,Dixie,us_state_default
87,"Fargo, ND",46.9956,-97.2218,337,Midwestern,us_state_default
88,"Vancouver Island, BC",42.8752,-116.6468,366,British Columbian,canada_name
89,"Sioux Falls, SD",43.5942,-96.9537,337,Midwestern,us_state_default
90,"Chico, CA",40.1130,-121.5731,88,Californian,california
91,"Mitchell, SD",43.6184,-98.6362,337,Midwestern,us_state_default
92,"Vaudreuil-Soulanges, QC",45.3412,-74.2416,93,Quebecois,canada_name
93,"Twin Islands, NU",49.1983,-73.2329,94,Inuit,canada_name
94,"Kindersley, SK",44.8442,-98.0570,365,Western Canadian,canada_name
95,"Saskatoon, SK",46.1498,-97.3624,365,Western Canadian,canada_name
96,Guantanamo Bay,20.1833,-75.3555,100,Cuban,caribbean_name
97,"Ann Arbor, MI",41.9099,-83.9051,563,Steel Belt (IL/MI),us_state_default
98,"Brookings, SD",44.5012,-97.5212,337,Midwestern,us_state_default
99,"Rapid City, SD",43.9875,-103.6073,337,Midwestern,us_state_default
100,"Winnipeg, MB",47.0954,-92.4255,365,Western Canadian,canada_name
101,"Birmingham, AL",33.5503,-86.7961,83,Dixie,us_state_default
102,"Dickinson, ND",46.3097,-101.9095,337,Midwestern,us_state_default
103,"Pierre, SD",43.9633,-101.2335,337,Midwestern,us_state_default
104,"Akimiski Island, NU",49.0893,-74.8195,94,Inuit,canada_name
105,"Beatrice, NE",40.1638,-96.4133,337,Midwestern,us_state_default
106,"Pine Bluff, AR",33.8037,-91.4802,83,Dixie,us_state_default
107,"Anticosti Island, QC",48.3706,-59.8189,93,Quebecois,canada_name
108,"Scottsbluff, NE",42.2805,-103.5341,337,Midwestern,us_state_default
109,"Fremont, NE",42.1115,-97.1073,337,Midwestern,us_state_default
110,"Grand Island, NE",41.4056,-99.8378,337,Midwestern,us_state_default
111,"Meridian, MS",32.3847,-89.2593,84,Dixie-African American,black_belt_core
112,"Salina, KS",38.6284,-97.1687,337,Midwestern,us_state_default
113,"Cowley, KS",37.6061,-96.5576,337,Midwestern,us_state_default
114,"Saint Pierre, FR",46.1196,-53.8830,95,Maritimer,caribbean_name
115,"Charlton Island, NU",49.1466,-74.3144,94,Inuit,canada_name
116,"East Lansing, MI",42.5598,-84.4732,563,Steel Belt (IL/MI),us_state_default
117,"Calgary, AB",45.9983,-107.1912,365,Western Canadian,canada_name
118,"Miquelon, FR",45.9932,-53.7989,95,Maritimer,caribbean_name
119,"Durango, CO",36.9777,-107.5798,702,Norteno Mexican (Durango/Zacatecas/Aguascalientes),mexico_name
120,"Eastern Townships, QC",47.1669,-68.6532,93,Quebecois,canada_name
121,"Hardin, KY",37.4347,-85.1813,565,Appalachian,appalachian_ky
122,"Dodge City, KS",38.9395,-100.9598,337,Midwestern,us_state_default
123,"Alamosa, CO",36.9732,-106.3936,699,Norteno Mexican (Coahuila),mexico_abbr
124,"Fort Smith, AR",34.8101,-93.4914,83,Dixie,us_state_default
125,"Twin Falls, ID",42.0763,-114.0154,573,Mormon,mormon_corridor
126,"Thornton, CO",39.5978,-105.5886,571,Southern Frontier,us_state_default
127,"Tuscaloosa, AL",33.1756,-87.6489,84,Dixie-African American,black_belt_al
128,"Fort Collins, CO",40.7213,-105.5919,571,Southern Frontier,us_state_default
129,"Fort Morgan, CO",39.9600,-104.4322,571,Southern Frontier,us_state_default
130,"La Salle, LA",31.4768,-91.9478,569,Louisianan,us_state_default
131,"Colorado Springs, CO",38.8885,-105.3323,571,Southern Frontier,us_state_default
132,"Magladen Islands, QC",46.9691,-59.8344,93,Quebecois,canada_name
133,"Ionia, MI",43.2339,-85.2178,563,Steel Belt (IL/MI),us_state_default
134,"Lansing, MI",42.4335,-84.8868,563,Steel Belt (IL/MI),us_state_default
135,"Miles City, MT",46.2305,-104.6143,87,Frontier,us_state_default
136,"Gillette, WY",44.1444,-105.9209,87,Frontier,us_state_default
137,"North Puget Sound, WA",47.3217,-121.5532,574,Pacific Northwestern,pacific_nw
138,"Flint, MI",42.8670,-84.0335,563,Steel Belt (IL/MI),us_state_default
139,"Great Falls, MT",46.8098,-109.3405,87,Frontier,us_state_default
140,"Northern Cascades, WA",47.7513,-120.7511,574,Pacific Northwestern,pacific_nw
141,New Brunswick,47.0617,-64.8383,95,Maritimer,canada_name
142,"Olympic Peninsula, WA",46.6816,-122.6029,574,Pacific Northwestern,pacific_nw
143,"Tucson, AZ",32.1107,-111.0126,571,Southern Frontier,us_state_default
144,"Idaho Falls, ID",42.6625,-111.5977,87,Frontier,us_state_default
145,"Cape Breton Island, NS",45.7633,-59.5746,95,Maritimer,canada_name
146,"Salt Lake City, UT",40.4735,-111.8060,573,Mormon,mormon_corridor
147,"Ogden, UT",41.2774,-111.7681,573,Mormon,mormon_corridor
148,"Lac-des-Eaux-Mortes, QC",48.0704,-65.9489,93,Quebecois,canada_name
149,"Provo, UT",39.5505,-111.1123,573,Mormon,mormon_corridor
150,"Western Okanogan Highlands, WA",47.4570,-117.4022,574,Pacific Northwestern,pacific_nw
151,"Edmundston, NB",47.6916,-66.4195,95,Maritimer,canada_name
152,Prince Edward Island,46.2516,-61.9920,95,Maritimer,canada_name
153,"Degelis, QC",47.6095,-67.5867,93,Quebecois,canada_name
154,"Mount Pleasant, MI",43.7651,-85.2138,563,Steel Belt (IL/MI),us_state_default
155,"Brandon, MB",47.5367,-96.0442,365,Western Canadian,canada_name
156,"Puget Islands, WA",46.9712,-121.6879,574,Pacific Northwestern,pacific_nw
157,"Eastern Okanogan Highlands, WA",47.3963,-116.1008,574,Pacific Northwestern,us_state_default
158,"Metaline Falls, WA",47.2195,-114.9782,574,Pacific Northwestern,us_state_default
159,"Hanover, MB",47.9772,-93.0427,365,Western Canadian,canada_name
160,"Sandpoint, ID",47.2038,-114.4205,87,Frontier,us_state_default
161,"Kalispell, MT",47.1717,-112.8521,87,Frontier,us_state_default
162,"Essex, MA",42.4655,-71.2325,82,New Englander,new_england_lat
163,Nova Scotia,44.8975,-63.6030,95,Maritimer,canada_name
164,"Vernal, UT",40.1066,-109.8282,573,Mormon,mormon_corridor
165,"Shreveport, LA",32.4085,-92.8596,569,Louisianan,us_state_default
166,"Cypress, AB",46.4705,-106.5852,365,Western Canadian,canada_name
167,"Maple Creek, MB",46.4847,-102.6091,365,Western Canadian,canada_name
168,"Aroostook, ME",47.1781,-67.1967,82,New Englander,new_england_lat
169,"South Puget Sound, WA",47.2835,-122.9296,574,Pacific Northwestern,pacific_nw
170,"Browning, MT",47.0975,-111.8991,87,Frontier,us_state_default
171,"Fayetteville, AR",35.8728,-93.5754,83,Dixie,us_state_default
172,"Columbia Basin, WA",47.6254,-118.7903,574,Pacific Northwestern,pacific_nw
173,"Pantex Plant, TX",35.2983,-101.7554,86,Texan,us_state_default
174,"Saint Francis, ME",47.3367,-68.1126,82,New Englander,new_england_lat
175,"Cedar City, UT",37.7931,-112.1679,573,Mormon,mormon_corridor
176,"New Orleans, LA",30.0495,-89.7325,84,Dixie-African American,black_belt_la
177,"Butte, MT",46.5064,-104.2182,87,Frontier,us_state_default
178,"Capitol Reef, UT",38.9893,-111.6585,573,Mormon,mormon_corridor
179,"Willapa Hills, WA",46.2035,-123.2126,574,Pacific Northwestern,pacific_nw
180,"Lafayette, LA",29.8163,-92.1633,569,Louisianan,us_state_default
181,"Moscow, ID",46.7388,-115.5817,87,Frontier,us_state_default
182,"Mecklenberg, NC",45.9026,-68.0367,82,New Englander,new_england_lat
183,"Southern Cascades, WA",46.9385,-122.5669,574,Pacific Northwestern,pacific_nw
184,"St. John, NB",45.7051,-66.7012,95,Maritimer,canada_name
185,"Yakima, WA",47.0711,-121.0552,574,Pacific Northwestern,pacific_nw
186,"Missoula, MT",46.7484,-113.5169,87,Frontier,us_state_default
187,"Naval Submarine Base Bangor, WA",47.2957,-122.6537,574,Pacific Northwestern,pacific_nw
188,"Piscataquis, ME",46.4680,-68.7254,82,New Englander,new_england_lat
189,"Middlesex, NJ",47.0669,-69.9127,82,New Englander,new_england_lat
190,"Roseburg, OR",43.2289,-123.5779,574,Pacific Northwestern,pacific_nw
191,"Muskegon, MI",43.5162,-86.1924,563,Steel Belt (IL/MI),us_state_default
192,"Bismarck, ND",46.6369,-99.0268,337,Midwestern,us_state_default
193,"Grand Forks, ND",47.5048,-96.9333,337,Midwestern,us_state_default
194,"Conway, AR",35.3066,-91.7969,83,Dixie,us_state_default
195,"Mahoosuc Range, ME",45.6592,-69.2790,82,New Englander,new_england_lat
196,"Phillips, AR",34.8761,-90.6679,83,Dixie,us_state_default
197,"Natchitoches, LA",31.1099,-92.9259,569,Louisianan,us_state_default
198,"Lake Charles, LA",30.1142,-93.1133,569,Louisianan,us_state_default
199,"Clay, MN",46.7681,-95.9911,337,Midwestern,us_state_default
200,"Isanti, MN",45.9696,-92.8887,337,Midwestern,us_state_default
201,"Vancouver, WA",45.9064,-122.5744,574,Pacific Northwestern,pacific_nw
202,"Autauga, AL",32.7958,-86.8056,84,Dixie-African American,black_belt_al
203,"Downeast, ME",44.6424,-68.4605,82,New Englander,new_england_lat
204,"Billings, MT",46.2272,-108.6795,87,Frontier,us_state_default
205,"West Mahoosuc, ME",45.6438,-69.9529,82,New Englander,new_england_lat
206,"Blue Mountains, WA",46.8969,-118.0344,574,Pacific Northwestern,pacific_nw
207,"Somerset, ME",45.0457,-69.3204,82,New Englander,new_england_lat
208,"Alexandra, LA",30.6576,-91.9744,569,Louisianan,us_state_default
209,"Bend, OR",45.3938,-120.9791,574,Pacific Northwestern,pacific_nw
210,"Queens, NY",47.4114,-87.5819,82,New Englander,us_state_default
211,"Phillipsburg, MT",46.5336,-111.8147,87,Frontier,us_state_default
212,"Mercer, ND",46.1405,-101.0167,337,Midwestern,us_state_default
213,"Orange, NY",46.1116,-72.6722,82,New Englander,new_england_lat
214,"Dothan, AL",31.4178,-85.7721,83,Dixie,us_state_default
215,"Monroe, LA",32.4502,-91.7871,84,Dixie-African American,black_belt_la
216,"Western Mountains, ME",44.7817,-70.4867,82,New Englander,new_england_lat
217,"Pendleton, OR",45.7565,-118.7361,574,Pacific Northwestern,pacific_nw
218,"Monteregie, QC",45.2031,-73.7328,93,Quebecois,canada_name
219,"ile Marie, QC",45.8154,-73.0549,93,Quebecois,canada_name
220,"Baker, MT",45.4933,-104.3942,87,Frontier,us_state_default
221,"Penobscot Bay, ME",44.2018,-69.5623,82,New Englander,new_england_lat
222,"Marquette, MI",46.3075,-87.8792,563,Steel Belt (IL/MI),us_state_default
223,"Great North Woods, NH",44.7250,-71.2297,82,New Englander,new_england_lat
224,"Cascade, ID",44.9016,-115.5045,87,Frontier,us_state_default
225,"ile Jesus, QC",45.5989,-73.5521,93,Quebecois,canada_name
226,"ile de Montreal, QC",45.5017,-73.5673,93,Quebecois,canada_name
227,"Montgomery, Al",32.1797,-85.7387,84,Dixie-African American,black_belt_al
228,"Saint Cloud, MN",46.1418,-95.1842,337,Midwestern,us_state_default
229,"ile Bizardl, QC",45.4977,-73.7558,93,Quebecois,canada_name
230,"ile Perrot, QC",45.3616,-73.8953,93,Quebecois,canada_name
231,"Northeast Kingdom, VT",44.5185,-71.9581,82,New Englander,new_england_lat
232,"Portland Casco Bay, ME",43.8004,-70.3297,82,New Englander,new_england_lat
233,"Cadillac, MI",44.3276,-85.0935,563,Steel Belt (IL/MI),us_state_default
234,"Jamestown, ND",46.6185,-98.0438,337,Midwestern,us_state_default
235,"Clarke, AL",32.0092,-87.7464,84,Dixie-African American,black_belt_al
236,"Franklin, VT",44.6051,-72.7820,82,New Englander,new_england_lat
237,"Butler, AL",31.7113,-86.8649,84,Dixie-African American,black_belt_al
238,"Alger, MI",45.9993,-87.1079,563,Steel Belt (IL/MI),us_state_default
239,"Dillon, MT",45.3962,-112.5233,87,Frontier,us_state_default
240,"Sugar Island, MI",46.4025,-83.8631,563,Steel Belt (IL/MI),us_state_default
241,"Superior, WI",46.1526,-91.1382,85,Steel Belt,us_state_default
242,"St. Lawrence, NY",44.5758,-74.3310,82,New Englander,us_state_default
243,"Salmon, ID",44.6682,-113.6664,87,Frontier,us_state_default
244,"White Mountains, NH",44.0283,-71.3968,82,New Englander,new_england_lat
245,"Manhattan, NYC",40.7831,-73.9712,558,New York,nyc_name
246,"St. Joseph Island, ON",46.1804,-83.7445,92,Ontarian,canada_name
247,"Athens, OH",39.2298,-82.5616,85,Steel Belt,us_state_default
248,"Grand Isle, VT",44.6448,-73.4534,82,New Englander,new_england_lat
249,"Powder River, MT",45.2835,-106.4210,87,Frontier,us_state_default
250,"Addison, VT",44.0556,-73.2821,82,New Englander,new_england_lat
251,"Hayward, WI",45.4461,-90.8751,85,Steel Belt,us_state_default
252,"Manitoulin Island, ON",45.7710,-81.9027,92,Ontarian,canada_name
253,"Rutland, VT",43.7313,-72.6989,82,New Englander,new_england_lat
254,"Drummond Island, MI",45.9776,-83.4863,563,Steel Belt (IL/MI),us_state_default
255,"Cabell, WV",40.7382,-81.0929,565,Appalachian,appalachian_core
256,"Hardin, MT",45.3508,-107.5852,87,Frontier,us_state_default
257,"Cockburn Island, ON",45.9003,-83.2107,92,Ontarian,canada_name
258,"East Bozeman, MT",45.2527,-109.4508,87,Frontier,us_state_default
259,"Madison, MT",45.3008,-111.0142,87,Frontier,us_state_default
260,"Merrimack, NH",43.5650,-71.0156,82,New Englander,new_england_lat
261,"Sarasota, FL",44.0273,-73.9928,568,Floridian,us_state_default
262,"Ontario, OR",43.3256,-117.4734,92,Ontarian,canada_name
263,"Mackinac Island, MI",45.7986,-84.4504,563,Steel Belt (IL/MI),us_state_default
264,"Toledo, OH",41.1612,-83.9384,85,Steel Belt,us_state_default
265,"Stevens Point, WI",45.0120,-89.1205,85,Steel Belt,us_state_default
266,"Dayton, OH",40.2079,-84.0928,85,Steel Belt,us_state_default
267,"Mackinac City, MI",45.5427,-84.7509,563,Steel Belt (IL/MI),us_state_default
268,"Grafton, NH",43.2464,-72.0406,82,New Englander,new_england_lat
269,"Clearwater, MN",47.6612,-94.6287,337,Midwestern,us_state_default
270,"Beaver Island, MI",45.7271,-85.6188,563,Steel Belt (IL/MI),us_state_default
271,"Harding, SD",45.0636,-102.7937,337,Midwestern,us_state_default
272,"Iosco, MI",44.3334,-84.1026,563,Steel Belt (IL/MI),us_state_default
273,"Hamilton, NY",43.6341,-75.2153,82,New Englander,us_state_default
274,"Strafford, NH",42.9720,-70.8951,82,New Englander,new_england_lat
275,"Mobridge, SD",45.1142,-101.2825,337,Midwestern,us_state_default
276,"Aberdeen, SD",45.0286,-99.6143,337,Midwestern,us_state_default
277,"Concord, NH",43.0149,-71.7231,82,New Englander,new_england_lat
278,"Medford, OR",42.4038,-123.7399,574,Pacific Northwestern,pacific_nw
279,"Watertown, SD",45.6749,-97.5886,337,Midwestern,us_state_default
280,"Lewis, NY",44.3523,-75.4738,82,New Englander,us_state_default
281,"Old Faithful, WY",44.3782,-110.6428,87,Frontier,us_state_default
282,"Troy, NY",42.9633,-73.8387,82,New Englander,us_state_default
283,"Casper, WY",43.0072,-107.5791,87,Frontier,us_state_default
284,"Philadelphia, PA",39.8470,-75.1687,109,Panamanian,caribbean_name
285,"Schenectady, NY",43.0222,-74.3443,82,New Englander,us_state_default
286,"Richland, OH",40.8169,-82.3723,85,Steel Belt,us_state_default
287,"Roberts, ID",43.9401,-112.1844,87,Frontier,us_state_default
288,"Boise, ID",43.3657,-115.3713,87,Frontier,us_state_default
289,"Baileys Harbor, WI",45.2515,-87.2583,85,Steel Belt,us_state_default
290,"Grand Traverse, MI",45.0825,-85.4184,563,Steel Belt (IL/MI),us_state_default
291,"Oswego, NY",43.2315,-75.9977,82,New Englander,us_state_default
292,"Hillsborough, NH",42.6906,-71.7626,82,New Englander,new_england_lat
293,"Windham, VT",42.7644,-73.1052,82,New Englander,new_england_lat
294,"Nampa, ID",42.5052,-115.9093,87,Frontier,us_state_default
295,"Jackson, WY",42.8220,-110.5130,87,Frontier,us_state_default
296,"Crescent City, CA",41.7558,-124.2010,88,Californian,california
297,"Jerome, ID",42.8916,-113.8873,87,Frontier,us_state_default
298,"Marshall, MN",44.9436,-95.6720,337,Midwestern,us_state_default
299,"Suffolk, MA",42.3601,-71.0589,82,New Englander,new_england_lat
300,"Worchester, MA",42.1811,-72.5752,82,New Englander,new_england_lat
301,"Wayne, NY",42.9560,-77.0924,82,New Englander,us_state_default
302,"Berkshire, MA",42.1645,-73.4387,82,New Englander,new_england_lat
303,"Mojave, CA",34.7476,-116.0518,88,Californian,california
304,"Saint Paul, MN",44.4360,-92.8226,337,Midwestern,us_state_default
305,"Chenango, NY",42.6134,-75.5698,82,New Englander,us_state_default
306,"Delaware, NY",42.3048,-74.9701,82,New Englander,us_state_default
307,"Plymouth, MA",41.9642,-70.7340,82,New Englander,new_england_lat
308,"Onondaga, NY",42.7468,-76.3194,82,New Englander,us_state_default
309,"Trippe, SD",43.2356,-101.8492,337,Midwestern,us_state_default
310,"Pocatello, ID",42.2902,-112.4833,87,Frontier,us_state_default
311,"Murray, MN",44.1122,-95.7841,337,Midwestern,us_state_default
312,"Huron, MI",43.5327,-83.2223,563,Steel Belt (IL/MI),us_state_default
313,"Monroe, NY",43.1566,-77.6109,82,New Englander,us_state_default
314,"Genesse, NY",43.1570,-78.1912,82,New Englander,us_state_default
315,"Barnstable, MA",41.7971,-69.9146,82,New Englander,new_england_lat
316,"Columbia, NY",41.9661,-73.8723,82,New Englander,us_state_default
317,"Mason, MI",44.2021,-86.3439,563,Steel Belt (IL/MI),us_state_default
318,"Saginaw, MI",43.5362,-84.2076,563,Steel Belt (IL/MI),us_state_default
319,"Providence, RI",41.6914,-71.3483,82,New Englander,new_england_lat
320,"Albany, NY",42.6513,-74.5480,82,New Englander,us_state_default
321,"New London, CT",41.6685,-72.4139,82,New Englander,new_england_lat
322,"Mankato, MN",44.0428,-93.8924,337,Midwestern,us_state_default
323,"Ithaca, NY",42.3083,-76.6852,82,New Englander,us_state_default
324,"Lovelock, NV",41.4424,-118.9819,87,Frontier,us_state_default
325,"Cattaraugus, NY",42.5559,-77.9089,82,New Englander,us_state_default
326,"Buffalo, NY",43.0397,-78.4992,82,New Englander,us_state_default
327,"Windham, NY",42.0204,-74.5284,82,New Englander,us_state_default
328,"Hartford, CT",41.5260,-73.2236,82,New Englander,new_england_lat
329,"Benton Harbor, MI",42.2358,-86.3052,563,Steel Belt (IL/MI),us_state_default
330,Grand Island,43.1489,-78.8068,82,New Englander,western_ny_lat
331,"Mojave, NV",39.3241,-116.5965,87,Frontier,us_state_default
332,"Detroit, MI",42.3314,-83.0458,563,Steel Belt (IL/MI),us_state_default
333,"Hamburg, NY",42.7489,-78.6535,82,New Englander,us_state_default
334,"Alpena, MI",45.1275,-84.0013,563,Steel Belt (IL/MI),us_state_default
335,"Steuben, NY",42.3327,-77.4297,82,New Englander,us_state_default
336,"Oakland, MI",42.8501,-83.3164,563,Steel Belt (IL/MI),us_state_default
337,"Dutchess, NY",41.4036,-73.6607,82,New Englander,new_england_lat
338,"Orange, NY",41.4424,-74.3656,82,New Englander,us_state_default
339,"St. Clair, MI",42.9711,-82.7881,563,Steel Belt (IL/MI),us_state_default
340,"Douglas, WY",42.8694,-104.9283,87,Frontier,us_state_default
341,"Chautauqua, NY",42.4213,-78.7180,82,New Englander,us_state_default
342,"Lackawanna, PA",41.5349,-75.6538,109,Panamanian,caribbean_name
343,"Fairfield, CT",41.1412,-73.2638,82,New Englander,new_england_lat
344,"West Wendover, NV",41.1549,-115.0107,87,Frontier,us_state_default
345,"Allegheny, PA",40.4406,-79.9959,109,Panamanian,caribbean_name
346,"Bradford, PA",41.4975,-76.8900,109,Panamanian,caribbean_name
347,"Davenport, IA",41.7018,-90.7586,337,Midwestern,us_state_default
348,"Detroit Metro, MI",42.3045,-83.2175,563,Steel Belt (IL/MI),us_state_default
349,"Mason City, IA",42.9566,-93.4076,337,Midwestern,us_state_default
350,"Council Bluffs, IA",41.2098,-95.1823,337,Midwestern,us_state_default
351,"Kent, MI",42.8429,-85.8138,563,Steel Belt (IL/MI),us_state_default
352,"Delta, UT",39.9266,-113.2300,573,Mormon,mormon_corridor
353,"Erie, PA",42.0241,-79.7768,109,Panamanian,caribbean_name
354,"Long Island, NY",40.7325,-73.2904,82,New Englander,us_state_default
355,"Cheyenne, WY",41.7949,-105.6930,87,Frontier,us_state_default
356,"McKean, PA",41.6765,-78.5226,109,Panamanian,caribbean_name
357,"Sussex, NJ",40.9883,-74.5161,559,Mid-Atlantic,us_state_default
358,"Cherry, NE",42.2803,-100.9340,337,Midwestern,us_state_default
359,"Lehigh, PA",40.8064,-75.8081,109,Panamanian,caribbean_name
360,"South Bairoil, WY",42.0907,-107.5050,87,Frontier,us_state_default
361,"Sandusky, OH",41.2655,-83.0204,85,Steel Belt,us_state_default
362,"Evanston, WY",41.2022,-110.3270,573,Mormon,mormon_corridor
363,"Northumberland, PA",40.7998,-77.8361,109,Panamanian,caribbean_name
364,"Rock Springs, WY",41.2103,-109.1260,573,Mormon,mormon_corridor
365,"Lawrence, PA",41.2103,-80.1490,109,Panamanian,caribbean_name
366,"Chicago Metro, IL",42.0506,-88.2979,563,Steel Belt (IL/MI),us_state_default
367,"Middlesex, NJ",40.4920,-74.5543,559,Mid-Atlantic,us_state_default
