province_id,lon,lat,label
5887,-121.2908,37.9577,"Stockton, CA"
5893,-122.0311,37.978,"Concord, CA"
5921,-121.8863,37.3382,"San Jose, CA"
5960,-120.9969,37.6391,"Modesto, CA"
6055,-116.2714,35.9736,"Shoshone, CA"
6069,-119.0187,35.3733,"Bakersfield, CA"
6100,-117.0228,34.8958,"Barstow, CA"
6125,-109.0526,35.6806,"Window Rock, AZ"
6129,-118.7815,34.2694,"Simi Valley, CA"
6142,-118.309,34.1808,"Burbank, CA"
6147,-117.6509,34.0633,"Ontario, CA"
6154,-117.2898,34.1083,"San Bernardino, CA"
6157,-117.3962,33.9533,"Riverside, CA"
6160,-110.6974,35.0242,"Winslow, AZ"
6165,-106.6504,35.0844,"Albuquerque, NM"
6181,-114.5964,33.6103,"Blythe, CA"
6191,-117.0842,32.6401,"Chula Vista, CA"
6215,-110.7865,33.3942,"Globe, AZ"
6221,-112.074,33.4484,"Phoenix, AZ"
6238,-114.6277,32.6927,"Yuma, AZ"
6267,-109.8276,32.3359,"Wilcox, AZ"
6272,-110.9747,32.2226,"Tucson, AZ"
6300,-96.797,32.7767,"Dallas, TX"
6302,-97.3308,32.7555,"Fort Worth, TX"
6348,-81.6557,30.3322,"Jacksonville, FL"
6399,-81.3792,28.5383,"Orlando, FL"
6410,-98.4936,29.4241,"San Antonio, TX"
6510,-66.1057,18.4655,"San Juan, PR"
6532,-69.9312,18.4861,Santo Domingo
6559,-72.335,18.5944,Port-au-Prince
6714,-73.5673,45.5017,Montreal
6776,-77.3554,25.0479,Nassau
6820,-64.6208,18.4269,Road Town
8863,-73.9712,40.7831,"Manhattan, NY"
