id,file,name,current_manpower,estimated_population,estimate_source
106,history/states/106-State_106.txt,"Pine Bluff, Ak",25000,25000,city_fallback
107,history/states/107-State_107.txt,"Anticosti Island, QC",86000,25000,city_fallback
108,history/states/108-State_108.txt,"Scottsbluff, NE",25000,25000,city_fallback
114,history/states/114-State_114.txt,"Saint Pierre, FR",25000,25000,city_fallback
115,history/states/115-State_115.txt,"Charlton Island, NU",120000,25000,city_fallback
116,history/states/116-State_116.txt,"East Lansing, MI",25000,25000,city_fallback
117,history/states/117-State_117.txt,"Calgary, AB",25000,25000,city_fallback
118,history/states/118-State_118.txt,"Miquelon, FR",25000,25000,city_fallback
120,history/states/120-State_120.txt,"Eastern Townships, QC",10000,25000,city_fallback
124,history/states/124-State_124.txt,"Fort Smith, AK",25000,25000,city_fallback
125,history/states/125-State_125.txt,"Twin Falls, ID",25000,25000,city_fallback
127,history/states/127-State_127.txt,"Tuscaloosa, AL",25000,25000,city_fallback
132,history/states/132-State_132.txt,"Magladen Islands, QC",230765,25000,city_fallback
133,history/states/133-State_133.txt,"Ionia, MI",25000,25000,city_fallback
135,history/states/135-State_135.txt,"Miles City, MT",25000,25000,city_fallback
148,history/states/148-State_148.txt,"Lac-des-Eaux-Mortes, QC",25000,25000,city_fallback
150,history/states/150-State_150.txt,"Western Okanogan Highlands, WA",25000,25000,city_fallback
151,history/states/151-State_151.txt,"Edmundston, NB",743159,25000,city_fallback
153,history/states/153-State_153.txt,"Degelis, QC",65269,25000,city_fallback
154,history/states/154-State_154.txt,"Mount Pleasant, MI",25000,25000,city_fallback
155,history/states/155-State_155.txt,"Brandon, MB",25000,25000,city_fallback
159,history/states/159-State_159.txt,"Hanover, MB",896344,25000,city_fallback
160,history/states/160-State_160.txt,"Sandpoint, ID",25000,25000,city_fallback
166,history/states/166-State_166.txt,"Cypress, AB",25000,25000,city_fallback
167,history/states/167-State_167.txt,"Maple Creek, MB",25000,25000,city_fallback
171,history/states/171-State_171.txt,"Fayetteville, AK",25000,25000,city_fallback
174,history/states/174-State_174.txt,"Saint Francis, ME",17630,25000,city_fallback
179,history/states/179-State_179.txt,"Willapa Hills, WA",25000,25000,city_fallback
184,history/states/184-State_184.txt,"St. John, NB",615301,25000,city_fallback
191,history/states/191-State_191.txt,"Muskegon, MI",25000,25000,city_fallback
194,history/states/194-State_194.txt,"Conway, AK",25000,25000,city_fallback
196,history/states/196-State_196.txt,"Phillips, AK",25000,25000,city_fallback
199,history/states/199-State_199.txt,"Clay, MN",25000,25000,city_fallback
200,history/states/200-State_200.txt,"Isanti, MN",25000,25000,city_fallback
208,history/states/208-State_208.txt,"Alexandra, LA",25000,25000,city_fallback
211,history/states/211-State_211.txt,"Phillipsburg, MT",25000,25000,city_fallback
218,history/states/218-State_218.txt,"Monteregie, QC",25000,25000,city_fallback
219,history/states/219-State_219.txt,"ile Marie, QC",48329,25000,city_fallback
225,history/states/225-State_225.txt,"ile Jesus, QC",4272,25000,city_fallback
226,history/states/226-State_226.txt,"ile de Montreal, QC",43070,25000,city_fallback
228,history/states/228-State_228.txt,"Saint Cloud, MN",25000,25000,city_fallback
229,history/states/229-State_229.txt,"ile Bizardl, QC",139277,25000,city_fallback
230,history/states/230-State_230.txt,"ile Perrot, QC",144053,25000,city_fallback
238,history/states/238-State_238.txt,"Alger, MI",25000,25000,city_fallback
240,history/states/240-State_240.txt,"Sugar Island, MI",25000,25000,city_fallback
241,history/states/241-State_241.txt,"Superior, WI",25000,25000,city_fallback
248,history/states/248-State_248.txt,"Grand Isle, VT",381751,25000,city_fallback
249,history/states/249-State_249.txt,"Powder River, MT",25000,25000,city_fallback
251,history/states/251-State_251.txt,"Hayward, WI",25000,25000,city_fallback
254,history/states/254-State_254.txt,"Drummond Island, MI",25000,25000,city_fallback
263,history/states/263-State_263.txt,"Mackinac Island, MI",25000,25000,city_fallback
267,history/states/267-State_267.txt,"Mackinac City, MI",25000,25000,city_fallback
269,history/states/269-State_269.txt,"Clearwater, MN",25000,25000,city_fallback
270,history/states/270-State_270.txt,"Beaver Island, MI",25000,25000,city_fallback
272,history/states/272-State_272.txt,"Iosco, MI",25000,25000,city_fallback
280,history/states/280-State_280.txt,"Lewis, NY",25000,25000,city_fallback
281,history/states/281-State_281.txt,"Old Faithful, WY",25000,25000,city_fallback
282,history/states/282-State_282.txt,"Troy, NY",25000,25000,city_fallback
289,history/states/289-State_289.txt,"Baileys Harbor, WI",25000,25000,city_fallback
290,history/states/290-State_290.txt,"Grand Traverse, MI",25000,25000,city_fallback
300,history/states/300-State_300.txt,"Worchester, MA",25000,25000,city_fallback
304,history/states/304-State_304.txt,"Saint Paul, MN",25000,25000,city_fallback
308,history/states/308-State_308.txt,"Onondaga, NY",25000,25000,city_fallback
311,history/states/311-State_311.txt,"Murray, MN",25000,25000,city_fallback
312,history/states/312-State_312.txt,"Huron, MI",25000,25000,city_fallback
317,history/states/317-State_317.txt,"Mason, MI",25000,25000,city_fallback
327,history/states/327-State_327.txt,"Windham, NY",25000,25000,city_fallback
333,history/states/333-State_333.txt,"Hamburg, NY",1,25000,city_fallback
336,history/states/336-State_336.txt,"Oakland, MI",25000,25000,city_fallback
339,history/states/339-State_339.txt,"St. Clair, MI",25000,25000,city_fallback
345,history/states/345-State_345.txt,"Allegheny, PA",25000,25000,city_fallback
348,history/states/348-State_348.txt,"Detroit Metro, MI",25000,25000,city_fallback
349,history/states/349-State_349.txt,"Mason City, IA",25000,25000,city_fallback
351,history/states/351-State_351.txt,"Kent, MI",25000,25000,city_fallback
354,history/states/354-State_354.txt,"Long Island, NY",25000,25000,city_fallback
356,history/states/356-State_356.txt,"McKean, PA",25000,25000,city_fallback
360,history/states/360-State_360.txt,"South Bairoil, WY",25000,25000,city_fallback
363,history/states/363-State_363.txt,"Northumberland, PA",25000,25000,city_fallback
368,history/states/368-State_368.txt,"Superior, WY",25000,25000,city_fallback
373,history/states/373-State_373.txt,"Wamsutter, WY",25000,25000,city_fallback
375,history/states/375-State_375.txt,"Rawlins, WY",25000,25000,city_fallback
378,history/states/378-State_378.txt,"Lancester, PA",25000,25000,city_fallback
386,history/states/386-State_386.txt,"Wheeling, OH",1,25000,city_fallback
393,history/states/393-State_393.txt,"Washington, PA",25000,25000,city_fallback
396,history/states/396-State_396.txt,"Mount Vernon, IL",1,25000,city_fallback
397,history/states/397-State_397.txt,"Steamboat Springs, CO",25000,25000,city_fallback
398,history/states/398-State_398.txt,"Saint Anne, IL",25000,25000,city_fallback
399,history/states/399-State_399.txt,"Walden, CO",25000,25000,city_fallback
402,history/states/402-State_402.txt,"Aberdeen, MD",1,25000,city_fallback
440,history/states/440-State_440.txt,"Spotslyvania, VA",25000,25000,city_fallback
451,history/states/451-State_451.txt,"Jefferson, MO",25000,25000,city_fallback
460,history/states/460-State_460.txt,"Trinidad, CO",25000,25000,city_fallback
463,history/states/463-State_463.txt,"Roanoake, VA",25000,25000,city_fallback
464,history/states/464-State_464.txt,"Washington, VA",25000,25000,city_fallback
467,history/states/467-State_467.txt,"Elizabeth City, NC",1,25000,city_fallback
473,history/states/473-State_473.txt,"Wake, NC",25000,25000,city_fallback
475,history/states/475-State_475.txt,"Wayne, KY",25000,25000,city_fallback
483,history/states/483-State_483.txt,"Owens Island, KY",25000,25000,city_fallback
486,history/states/486-State_486.txt,"Tucumcari, NM",25000,25000,city_fallback
490,history/states/490-State_490.txt,"Oklahoma Panhandle, OK",25000,25000,city_fallback
491,history/states/491-State_491.txt,"Onslow, NC",25000,25000,city_fallback
501,history/states/501-State_501.txt,"Northern Channel Islands, CA",1,25000,city_fallback
505,history/states/505-State_505.txt,"Tiptonville, KY",1,25000,city_fallback
508,history/states/508-State_508.txt,"Jonesboro, AK",25000,25000,city_fallback
509,history/states/509-State_509.txt,"Randolph, AK",25000,25000,city_fallback
512,history/states/512-State_512.txt,"Searcy, AK",25000,25000,city_fallback
514,history/states/514-State_514.txt,"Whiteville, NC",25000,25000,city_fallback
515,history/states/515-State_515.txt,"Saluda, NC",1,25000,city_fallback
522,history/states/522-State_522.txt,"Southern Channel Islands, CA",1,25000,city_fallback
527,history/states/527-State_527.txt,"Little River, AK",25000,25000,city_fallback
528,history/states/528-State_528.txt,"Morgan, AL",25000,25000,city_fallback
535,history/states/535-State_535.txt,"Plainville, TX",25000,25000,city_fallback
536,history/states/536-State_536.txt,"Weldona, CO",25000,25000,city_fallback
542,history/states/542-State_542.txt,"Yoakum, TX",25000,25000,city_fallback
544,history/states/544-State_544.txt,"Vernon, TX",25000,25000,city_fallback
554,history/states/554-State_554.txt,"Wichita Falls, TX",25000,25000,city_fallback
556,history/states/556-State_556.txt,"Watson, AR",1,25000,city_fallback
558,history/states/558-State_558.txt,"Texarkana, TX",25000,25000,city_fallback
560,history/states/560-State_560.txt,"San Angelo, TX",25000,25000,city_fallback
565,history/states/565-State_565.txt,"ile Dondaine, QC",1,25000,city_fallback
567,history/states/567-State_567.txt,"Stephenville, TX",25000,25000,city_fallback
570,history/states/570-State_570.txt,"Dallas-Fort Worth, TX",25000,25000,city_fallback
575,history/states/575-State_575.txt,"Navarro, TX",25000,25000,city_fallback
581,history/states/581-State_581.txt,"Reeves, TX",25000,25000,city_fallback
589,history/states/589-State_589.txt,"Ciudad Obregon, SO",1,25000,city_fallback
590,history/states/590-State_590.txt,"Nogales, SO",1,25000,city_fallback
614,history/states/614-State_614.txt,"Victoria, TX",25000,25000,city_fallback
616,history/states/616-State_616.txt,"Yellowstone, WY",25000,25000,city_fallback
622,history/states/622-State_622.txt,"Grand Manan Island, ME",1,25000,city_fallback
623,history/states/623-State_623.txt,"Bar Harbor, ME",1,25000,city_fallback
625,history/states/625-State_625.txt,"Shiprock, NM",25000,25000,city_fallback
626,history/states/626-State_626.txt,"Portland, TX",25000,25000,city_fallback
627,history/states/627-State_627.txt,"Miami-Dade, FL",25000,25000,city_fallback
629,history/states/629-State_629.txt,"Freeport, BS",1,25000,city_fallback
631,history/states/631-State_631.txt,"Aransas, TX",1,25000,city_fallback
632,history/states/632-State_632.txt,"Sterling, CO",25000,25000,city_fallback
635,history/states/635-State_635.txt,"Monterrey, NL",25000,25000,city_fallback
637,history/states/637-State_637.txt,"Laredos, TM",1,25000,city_fallback
638,history/states/638-State_638.txt,"Los Mochis, SI",1,25000,city_fallback
639,history/states/639-State_639.txt,"Guadalupe y Calvo, CH",1,25000,city_fallback
640,history/states/640-State_640.txt,"El Carrizo, SI",1,25000,city_fallback
642,history/states/642-State_642.txt,"Gomez Palacio, DG",1,25000,city_fallback
643,history/states/643-State_643.txt,"Salinas, CA",25000,25000,city_fallback
644,history/states/644-State_644.txt,"Eleuthera, BS",1,25000,city_fallback
646,history/states/646-State_646.txt,"New Providence, BS",25000,25000,city_fallback
647,history/states/647-State_647.txt,"Andros, BS",1,25000,city_fallback
648,history/states/648-State_648.txt,"Cat Island, BS",1,25000,city_fallback
653,history/states/653-State_653.txt,"Matamoros, TA",25000,25000,city_fallback
654,history/states/654-State_654.txt,"Los Angeles Metro, CA",25000,25000,city_fallback
655,history/states/655-State_655.txt,"San Diego Metro, CA",25000,25000,city_fallback
657,history/states/657-State_657.txt,"Montemorelos, NL",1,25000,city_fallback
658,history/states/658-State_658.txt,"San Salvador, BS",1,25000,city_fallback
660,history/states/660-State_660.txt,"Santa Rosa, CA",25000,25000,city_fallback
661,history/states/661-State_661.txt,"Sacremento, CA",25000,25000,city_fallback
663,history/states/663-State_663.txt,"Long Island, BS",1,25000,city_fallback
664,history/states/664-State_664.txt,"Great Exuma, BS",1,25000,city_fallback
665,history/states/665-State_665.txt,"Yreka, CA",25000,25000,city_fallback
668,history/states/668-State_668.txt,"Mazatlan, SI",1,25000,city_fallback
669,history/states/669-State_669.txt,"Sequoia, CA",25000,25000,city_fallback
670,history/states/670-State_670.txt,"Durango, DG",1,25000,city_fallback
671,history/states/671-State_671.txt,"Fresnillo, ZA",1,25000,city_fallback
672,history/states/672-State_672.txt,"Crooked Island, BS",1,25000,city_fallback
674,history/states/674-State_674.txt,"Santa Barbara, CA",25000,25000,city_fallback
675,history/states/675-State_675.txt,"Mayaguna, BS",1,25000,city_fallback
677,history/states/677-State_677.txt,"Pinedale, WY",25000,25000,city_fallback
681,history/states/681-State_681.txt,"Huntsville, TX",25000,25000,city_fallback
682,history/states/682-State_682.txt,"Monctezuma, SL",1,25000,city_fallback
683,history/states/683-State_683.txt,"Sidney, NE",25000,25000,city_fallback
685,history/states/685-State_685.txt,"Matanzas, CU",1,25000,city_fallback
686,history/states/686-State_686.txt,"Villa Clara, CU",1,25000,city_fallback
687,history/states/687-State_687.txt,"Zacatecas, ZA",1,25000,city_fallback
688,history/states/688-State_688.txt,"Ciudad Victoria, TM",1,25000,city_fallback
690,history/states/690-State_690.txt,"Inagua, BS",1,25000,city_fallback
691,history/states/691-State_691.txt,"Mayabeque, CU",1,25000,city_fallback
693,history/states/693-State_693.txt,"Artemisa, CU",1,25000,city_fallback
696,history/states/696-State_696.txt,"Ciego de Avila, CU",1,25000,city_fallback
697,history/states/697-State_697.txt,"Sancti Spiritus, CU",1,25000,city_fallback
698,history/states/698-State_698.txt,"Pinar del Rio, CU",1,25000,city_fallback
700,history/states/700-State_700.txt,"Jardines del Rey, CU",1,25000,city_fallback
701,history/states/701-State_701.txt,"Yosemite, CA",25000,25000,city_fallback
702,history/states/702-State_702.txt,"Camaguey, CU",1,25000,city_fallback
703,history/states/703-State_703.txt,"Susanville, CA",25000,25000,city_fallback
706,history/states/706-State_706.txt,"Tecuala, NA",1,25000,city_fallback
707,history/states/707-State_707.txt,"San Juan, PR",3808610,25000,city_fallback
709,history/states/709-State_709.txt,"Maria Trinidad Sanchez, DO",1,25000,city_fallback
711,history/states/711-State_711.txt,"Holguin, CU",1,25000,city_fallback
712,history/states/712-State_712.txt,"Samana, DO",1,25000,city_fallback
713,history/states/713-State_713.txt,"Monte Cristi, DO",1,25000,city_fallback
714,history/states/714-State_714.txt,"Puerto Plata, DO",1,25000,city_fallback
715,history/states/715-State_715.txt,"Duarte, DO",1,25000,city_fallback
718,history/states/718-State_718.txt,"El Seybo, DO",1,25000,city_fallback
719,history/states/719-State_719.txt,"La Altagracia, DO",1,25000,city_fallback
721,history/states/721-State_721.txt,"Vieques, PR",1,25000,city_fallback
723,history/states/723-State_723.txt,"Santiago, DO",1,25000,city_fallback
724,history/states/724-State_724.txt,"Hato Mayor, DO",1,25000,city_fallback
725,history/states/725-State_725.txt,"Mezquitic, JA",1,25000,city_fallback
727,history/states/727-State_727.txt,"La Vega, DO",1,25000,city_fallback
728,history/states/728-State_728.txt,"Isla de Culebra, PR",1,25000,city_fallback
729,history/states/729-State_729.txt,"Nord-Oueste, HT",1,25000,city_fallback
730,history/states/730-State_730.txt,"Dajabon, DO",1,25000,city_fallback
731,history/states/731-State_731.txt,"Isla de Juventud, CU",1,25000,city_fallback
733,history/states/733-State_733.txt,"Santo Domingo, DO",1,25000,city_fallback
734,history/states/734-State_734.txt,"Santiago de Cuba, CU",1,25000,city_fallback
736,history/states/736-State_736.txt,"Granma, CU",1,25000,city_fallback
737,history/states/737-State_737.txt,"La Romana, DO",1,25000,city_fallback
738,history/states/738-State_738.txt,"San Pedro de Macoris, DO",1,25000,city_fallback
739,history/states/739-State_739.txt,"Colotlan, JA",1,25000,city_fallback
740,history/states/740-State_740.txt,"La Estrelleta, DO",1,25000,city_fallback
742,history/states/742-State_742.txt,"San Juan, DO",1,25000,city_fallback
743,history/states/743-State_743.txt,"Guayalejo, VC",1,25000,city_fallback
744,history/states/744-State_744.txt,"Centre, HT",1,25000,city_fallback
747,history/states/747-State_747.txt,"San Luis Potosi, SL",1,25000,city_fallback
748,history/states/748-State_748.txt,"Azua, DO",1,25000,city_fallback
749,history/states/749-State_749.txt,"Peravia, DO",1,25000,city_fallback
750,history/states/750-State_750.txt,"Ciudad Valles, SL",1,25000,city_fallback
752,history/states/752-State_752.txt,"Isla de Mona, PR",1,25000,city_fallback
753,history/states/753-State_753.txt,"Tepic, NA",1,25000,city_fallback
756,history/states/756-State_756.txt,"San Francisco Metro, CA",25000,25000,city_fallback
758,history/states/758-State_758.txt,"Axtla de Terrazas, SL",1,25000,city_fallback
760,history/states/760-State_760.txt,"Ouest, HT",1,25000,city_fallback
762,history/states/762-State_762.txt,"Barahona, DO",1,25000,city_fallback
763,history/states/763-State_763.txt,"Isla Maria Madre, NA",1,25000,city_fallback
765,history/states/765-State_765.txt,"Isla de la Gonave, HT",1,25000,city_fallback
767,history/states/767-State_767.txt,"Huejutla de Reyes, VC",1,25000,city_fallback
768,history/states/768-State_768.txt,"Pedernales, DO",1,25000,city_fallback
769,history/states/769-State_769.txt,"Sud-Est, HT",1,25000,city_fallback
770,history/states/770-State_770.txt,"Puerto Vallarta, JA",1,25000,city_fallback
773,history/states/773-State_773.txt,"Nippes, HT",1,25000,city_fallback
