name,abbr,lon,lat,population,label,source,geoname_id
Tlahuac,DF,-99.00507,19.28689,305076,"Tlahuac, DF",geonames,3515463
Santa Catarina,NL,-100.45813,25.67325,304052,"Santa Catarina, NL",geonames,3984583
Saint Paul,MN,-93.09327,44.94441,303176,"Saint Paul, MN",geonames,5045360
Pittsburgh,PA,-79.9959,40.4406,302971,"Pittsburgh, PA",curated,
St. Louis,MO,-90.1994,38.627,301578,"St. Louis, MO",curated,
Uruapan,MI,-102.05842,19.41677,299523,"Uruapan, MI",geonames,3980760
Greensboro,NC,-79.792,36.0726,299035,"Greensboro, NC",curated,
Tampico,TM,-97.8686,22.2553,297284,"Tampico, TM",curated,
Cholula,PU,-98.30352,19.06406,292881,"Cholula, PU",geonames,3530757
Jersey City,NJ,-74.0776,40.7178,292449,"Jersey City, NJ",curated,
Anchorage,AK,-149.9003,61.2181,291247,"Anchorage, AK",curated,
Lincoln,NE,-96.6859,40.8136,291082,"Lincoln, NE",curated,
Gatineau,QC,-75.701,45.4765,291041,"Gatineau, QC",curated,
Meads,KY,-82.70905,38.41258,288649,Meads,geonames,4300488
Plano,TX,-96.6989,33.0198,285494,"Plano, TX",curated,
Nicolas Romero,EM,-99.3068,19.64177,281799,"Nicolas Romero, EM",geonames,3522732
Zumpango,EM,-99.09946,19.7967,280455,"Zumpango, EM",geonames,3513966
Durham,NC,-78.8986,35.994,278993,"Durham, NC",curated,
Buffalo,NY,-78.8784,42.8864,278349,"Buffalo, NY",curated,
Coacalco,EM,-99.10689,19.62923,277959,"Coacalco, EM",geonames,3530569
Pachuca,HG,-98.7591,20.1011,277375,"Pachuca, HG",curated,
Chandler,AZ,-111.8413,33.3062,275987,"Chandler, AZ",curated,
Chula Vista,CA,-117.0842,32.6401,275487,"Chula Vista, CA",curated,
Cap-Haitien,HT,-72.2014,19.7596,274404,Cap-Haitien,curated,
Nassau,BS,-77.3554,25.0479,274400,Nassau,curated,
Guantanamo,CU,-75.20917,20.14444,272801,Guantanamo,geonames,3557689
Toledo,OH,-83.5379,41.6528,270871,"Toledo, OH",curated,
Madison,WI,-89.4012,43.0731,269840,"Madison, WI",curated,
Saint-Marc,HT,-72.70078,19.11136,266642,Saint-Marc,geonames,3717588
Reno,NV,-119.8138,39.5296,264165,"Reno, NV",curated,
Eastern Townships,QC,-71.889,45.4033,264000,"Eastern Townships, QC",curated,
Lubbock,TX,-101.8552,33.5779,263930,"Lubbock, TX",curated,
Fort Wayne,IN,-85.1394,41.0793,263886,"Fort Wayne, IN",curated,
North Las Vegas,NV,-115.1175,36.1989,262527,"North Las Vegas, NV",curated,
Harford,MD,-76.3049,39.5485,262308,"Harford, MD",curated,
St. Petersburg,FL,-82.6403,27.7676,258308,"St. Petersburg, FL",curated,
Irvine,CA,-117.82311,33.66946,256927,"Irvine, CA",geonames,5359777
Kitchener,ON,-80.4925,43.4516,256885,"Kitchener, ON",curated,
Irving,TX,-96.9489,32.814,256684,"Irving, TX",curated,
Pachuca de Soto,HG,-98.73329,20.11697,256584,"Pachuca de Soto, HG",geonames,3522210
Laredo,TX,-99.5075,27.5036,255205,"Laredo, TX",curated,
Longueuil,QC,-73.5185,45.5312,254483,"Longueuil, QC",curated,
Santa Clara,CU,-79.96581,22.40711,250512,Santa Clara,geonames,3537906
La Paz,BS,-110.31316,24.14231,250141,La Paz,geonames,4000900
Campeche,CM,-90.5349,19.8301,249623,"Campeche, CM",curated,
Winston-Salem,NC,-80.2442,36.0999,249545,"Winston-Salem, NC",curated,
Chesapeake,VA,-76.2875,36.7682,249422,"Chesapeake, VA",curated,
Burnaby,BC,-122.9826,49.2488,249125,"Burnaby, BC",curated,
Tehuacan,PU,-97.39735,18.46422,248716,"Tehuacan, PU",geonames,3516109
Glendale,AZ,-112.1859,33.5387,248325,"Glendale, AZ",curated,
Buncombe,NC,-82.5508,35.5954,247628,"Buncombe, NC",curated,
Gilbert,AZ,-111.78903,33.35283,247542,"Gilbert, AZ",geonames,5295903
San Miguel,SV,-88.18211,13.48261,247126,"San Miguel, SV",geonames,3583446
Garland,TX,-96.6389,32.9126,246543,"Garland, TX",curated,
Norfolk,VA,-76.2859,36.8508,244703,"Norfolk, VA",curated,
Tri-Cities,WA,-119.19617,46.2454,244036,"Tri-Cities, WA",geonames,7289169
Ciudad Obregon,SO,-109.9338,27.4847,240000,"Ciudad Obregon, SO",curated,
Magdalena Contreras,DF,-99.21118,19.33212,238431,"Magdalena Contreras, DF",geonames,3523760
Scottsdale,AZ,-111.89903,33.50921,236839,"Scottsdale, AZ",geonames,5313457
Boise,ID,-116.2023,43.615,235684,"Boise, ID",curated,
Danli,HN,-86.58333,14.03333,233789,"Danli, HN",geonames,3612907
Fremont,CA,-121.98857,37.54827,232206,"Fremont, CA",geonames,5350734
Windsor,ON,-83.0377,42.3149,229660,"Windsor, ON",curated,
Croix-des-Bouquets,HT,-72.22625,18.57677,229127,Croix-des-Bouquets,geonames,3727135
Spokane,WA,-117.426,47.6588,228989,"Spokane, WA",curated,
Santa Clarita,CA,-118.5426,34.3917,228673,"Santa Clarita, CA",curated,
Gomez Palacio,DG,-103.4948,25.5732,228000,"Gomez Palacio, DG",curated,
Baton Rouge,LA,-91.1871,30.4515,227470,"Baton Rouge, LA",curated,
Richmond,VA,-77.436,37.5407,226610,"Richmond, VA",curated,
Regina,SK,-104.6189,50.4452,226004,"Regina, SK",curated,
Muscogee,GA,-84.8502,32.4841,223549,"Muscogee, GA",curated,
Paradise,NV,-115.14666,36.09719,223167,"Paradise, NV",geonames,5509952
Hialeah,FL,-80.2781,25.8576,223109,"Hialeah, FL",curated,
San Bernardino,CA,-117.2898,34.1083,222101,"San Bernardino, CA",curated,
La Ceiba,HN,-86.78221,15.75971,222055,"La Ceiba, HN",geonames,3608248
Tacoma,WA,-122.4443,47.2529,219346,"Tacoma, WA",curated,
Modesto,CA,-120.9969,37.6391,218464,"Modesto, CA",curated,
San Pedro de Macoris,DO,-69.30864,18.4539,217899,San Pedro de Macoris,geonames,3493032
Tapachula,CS,-92.2574,14.9039,217450,"Tapachula, CS",curated,
Buenavista,EM,-99.16944,19.60833,216776,"Buenavista, EM",geonames,3827606
Ciudad Acuna,CO,-100.95217,29.32322,216099,"Ciudad Acuna, CO",geonames,4013728
San Cristobal de las Casas,CS,-92.63825,16.73006,215874,"San Cristobal de las Casas, CS",geonames,3519537
Jiutepec,MO,-99.17778,18.88139,215357,"Jiutepec, MO",geonames,3526485
Monclova,CO,-101.42056,26.90687,215271,"Monclova, CO",geonames,3995523
Huntsville,AL,-86.5861,34.7304,215006,"Huntsville, AL",curated,
Des Moines,IA,-93.6091,41.5868,214133,"Des Moines, IA",curated,
Oakville,ON,-79.68292,43.45011,213759,"Oakville, ON",geonames,6092122
Fontana,CA,-117.43505,34.09223,212704,"Fontana, CA",geonames,5349755
Coban,GUA,-90.37455,15.47025,212047,Coban,geonames,3598119
Yonkers,NY,-73.8987,40.9312,211569,"Yonkers, NY",curated,
Rochester,NY,-77.6109,43.1566,211328,"Rochester, NY",curated,
Arroyo Naranjo,CU,-82.37703,23.03811,210053,Arroyo Naranjo,geonames,3568342
Richmond,BC,-123.13683,49.17003,209937,"Richmond, BC",geonames,6122085
Fayetteville,NC,-78.8784,35.0527,208501,"Fayetteville, NC",curated,
La Romana,DO,-68.96635,18.42332,208437,La Romana,geonames,3500957
Arlington,VA,-77.10428,38.88101,207627,"Arlington, VA",geonames,4744709
Columbus,GA,-84.9877,32.4609,206922,"Columbus, GA",curated,
Worcester,MA,-71.8023,42.2626,206518,"Worcester, MA",curated,
Port St. Lucie,FL,-80.3582,27.273,204851,"Port St. Lucie, FL",curated,
Cordoba,VE,-96.92559,18.8842,204721,"Cordoba, VE",geonames,3530240
Moreno Valley,CA,-117.23059,33.93752,204198,"Moreno Valley, CA",geonames,5374732
St. Clair,MI,-82.6284,42.9427,204000,"St. Clair, MI",curated,
Las Tunas,CU,-76.95192,20.96135,203684,Las Tunas,geonames,3550598
Cabo San Lucas,BS,-109.91238,22.89088,202694,Cabo San Lucas,geonames,3985710
Little Rock,AR,-92.2896,34.7465,202591,"Little Rock, AR",curated,
Augusta,GA,-81.9748,33.4735,202081,"Augusta, GA",curated,
Oxnard,CA,-119.1771,34.1975,202079,"Oxnard, CA",curated,
Richmond Hill,ON,-79.43725,43.87111,202022,"Richmond Hill, ON",geonames,6122091
Huntington Beach,CA,-117.99923,33.6603,201899,"Huntington Beach, CA",geonames,5358705
Glendale,CA,-118.25508,34.14251,201020,"Glendale, CA",geonames,5352423
Cypress,TX,-95.69717,29.96911,200839,"Cypress, TX",geonames,4684724
Birmingham,AL,-86.8025,33.5207,200733,"Birmingham, AL",curated,
Montgomery,AL,-86.3,32.3792,200603,"Montgomery, AL",curated,
Frisco,TX,-96.8236,33.1507,200509,"Frisco, TX",curated,
Amarillo,TX,-101.8313,35.222,200393,"Amarillo, TX",curated,
Salt Lake City,UT,-111.891,40.7608,199723,"Salt Lake City, UT",curated,
Grand Rapids,MI,-85.6681,42.9634,198917,"Grand Rapids, MI",curated,
Overland Park,KS,-94.6708,38.9822,197238,"Overland Park, KS",curated,
Ciudad Madero,TM,-97.83665,22.2475,197216,"Ciudad Madero, TM",geonames,3530594
Tallahassee,FL,-84.2807,30.4383,196169,"Tallahassee, FL",curated,
Ciudad Lazaro Cardenas,MI,-102.19887,17.96256,196003,"Ciudad Lazaro Cardenas, MI",geonames,4026082
McKinney,TX,-96.6398,33.1972,195308,"McKinney, TX",curated,
Cape Coral,FL,-81.9495,26.5629,194016,"Cape Coral, FL",curated,
Bayamo,CU,-76.64272,20.37368,192632,Bayamo,geonames,3567597
Sioux Falls,SD,-96.7311,43.5446,192517,"Sioux Falls, SD",curated,
New Hanover,NC,-77.8819,34.2751,192368,"New Hanover, NC",curated,
Ciudad del Carmen,CM,-91.82991,18.64592,191238,"Ciudad del Carmen, CM",geonames,3530599
Peoria,AZ,-112.23738,33.5806,190985,"Peoria, AZ",geonames,5308480
Providence,RI,-71.4128,41.824,190934,"Providence, RI",curated,
Vancouver,WA,-122.6615,45.6387,190915,"Vancouver, WA",curated,
Knoxville,TN,-83.9207,35.9606,190740,"Knoxville, TN",curated,
Akron,OH,-81.519,41.0814,190469,"Akron, OH",curated,
Sunrise Manor,NV,-115.07306,36.21108,189372,"Sunrise Manor, NV",geonames,5513343
Grand Prairie,TX,-96.99778,32.74596,187809,"Grand Prairie, TX",geonames,4694482
Shreveport,LA,-93.7502,32.5252,187593,"Shreveport, LA",curated,
Chilpancingo,GR,-99.5024,17.5506,187251,"Chilpancingo, GR",curated,
Mobile,AL,-88.0431,30.6954,187041,"Mobile, AL",curated,
Pinar del Rio,CU,-83.69657,22.41649,186990,Pinar del Rio,geonames,3544091
Burlington,ON,-79.83713,43.38621,186948,"Burlington, ON",geonames,5911592
Brownsville,TX,-97.4975,25.9017,186738,"Brownsville, TX",curated,
Cienfuegos,CU,-80.4481,22.14681,186644,Cienfuegos,geonames,3564124
Newport News,VA,-76.473,37.0871,186247,"Newport News, VA",curated,
Zamora de Hidalgo,MI,-102.28634,19.98404,186102,"Zamora de Hidalgo, MI",geonames,3979802
Poza Rica de Hidalgo,VE,-97.45946,20.53315,185242,"Poza Rica de Hidalgo, VE",geonames,3521168
